date,value
1939-01-01,100
1939-02-01,100
1939-03-01,100
1939-04-01,102
1939-05-01,102
1939-06-01,102
1939-07-01,102
1939-08-01,103
1939-09-01,101
1939-10-01,103
1939-11-01,109
1939-12-01,111
1940-01-01,112
1940-02-01,117
1940-03-01,121
1940-04-01,123
1940-05-01,124
1940-06-01,125
1940-07-01,127
1940-08-01,128
1940-09-01,134
1940-10-01,141
1940-11-01,142
1940-12-01,142
1941-01-01,146
1941-02-01,148
1941-03-01,150
1941-04-01,150
1941-05-01,153
1941-06-01,155
1941-07-01,157
1941-08-01,167
1941-09-01,166
1941-10-01,172
1941-11-01,175
1941-12-01,177
1942-01-01,183
1942-02-01,183
1942-03-01,183
1942-04-01,183
1942-05-01,182
1942-06-01,183
1942-07-01,183
1942-08-01,195
1942-09-01,210
1942-10-01,250
1942-11-01,260
1942-12-01,272
1943-01-01,263
1943-02-01,262
1943-03-01,262
1943-04-01,261
1943-05-01,249
1943-06-01,246
1943-07-01,245
1943-08-01,247
1943-09-01,262
1943-10-01,260
1943-11-01,259
1943-12-01,259
1944-01-01,263
1944-02-01,263
1944-03-01,265
1944-04-01,266
1944-05-01,270
1944-06-01,268
1944-07-01,266
1944-08-01,266
1944-09-01,272
1944-10-01,271
1944-11-01,271
1944-12-01,273
1945-01-01,274
1945-02-01,274
1945-03-01,274
1945-04-01,274
1945-05-01,274
1945-06-01,275
1945-07-01,275
1945-08-01,275
1945-09-01,278
1945-10-01,285
1945-11-01,285
1945-12-01,285
1946-01-01,285
1946-02-01,285
1946-03-01,285
1946-04-01,285
1946-05-01,287
1946-06-01,292
1946-07-01,293
1946-08-01,296
1946-09-01,294
1946-10-01,302
1946-11-01,303
1946-12-01,306
1947-01-01,310
1947-02-01,316
1947-03-01,310
1947-04-01,310
1947-05-01,311
1947-06-01,310
1947-07-01,310
1947-08-01,312
1947-09-01,312
1947-10-01,325
1947-11-01,326
1947-12-01,328
1948-01-01,319
1948-02-01,319
1948-03-01,320
1948-04-01,323
1948-05-01,320
1948-06-01,319
