date,buy,sell,mean
2020-03-31,,,86.54
2020-04-01,,,86.68
2020-04-02,,,86.52
2020-04-03,,,86.48
2020-04-06,,,87.35
2020-04-07,,,88.26
2020-04-08,,,88.35
2020-04-14,,,90.91
2020-04-15,,,90.36
2020-04-16,,,90.53
2020-04-17,,,91.66
2020-04-20,,,91.84
2020-04-21,,,91.22
2020-04-22,,,92.08
2020-04-24,,,93.66
2020-04-27,,,94.42
2020-04-28,,,95.17
2020-04-29,,,95.76
2020-04-30,,,95.82
2020-05-04,,,93.43
2020-05-05,,,94.75
2020-05-06,,,94.91
2020-05-07,,,95.36
2020-05-08,,,95.37
2020-05-11,,,95.05
2020-05-12,,,95.38
2020-05-13,,,94.58
2020-05-14,,,94.32
2020-05-15,,,94.37
2020-05-18,,,93.83
2020-05-19,,,93.47
2020-05-20,,,93.84
2020-05-22,,,93.66
2020-05-25,,,93.25
2020-05-26,,,93.24
2020-05-27,,,91.53
2020-05-28,,,90.55
2020-05-29,,,90.19
2020-06-02,,,92.73
2020-06-03,,,92.9
2020-06-04,,,91.56
2020-06-05,,,91.69
2020-06-08,,,92.44
2020-06-09,,,91.99
2020-06-10,,,92.54
2020-06-11,,,92.51
2020-06-12,,,92.62
2020-06-15,,,91.88
2020-06-16,,,93.45
2020-06-18,,,93.53
2020-06-19,,,94.44
2020-06-22,,,94.77
2020-06-23,,,96.28
2020-06-24,,,96.11
2020-06-25,,,96.2
2020-06-26,,,94.98
2020-06-29,,,94.74
2020-06-30,,,94.9
2020-07-01,,,95.73
2020-07-02,,,95.84
2020-07-03,,,96.48
2020-07-06,,,96.8
2020-07-07,,,96.51
2020-07-08,,,96.8
2020-07-09,,,97.81
2020-07-10,,,97.91
2020-07-13,,,97.94
2020-07-14,,,97.63
2020-07-15,,,98.1
2020-07-16,,,97.95
2020-07-17,,,98.01
2020-07-20,,,97.83
2020-07-21,,,98.52
2020-07-22,,,97.57
2020-07-23,,,97.02
2020-07-24,,,96.27
2020-07-27,,,96.3
2020-07-28,,,96.55
2020-07-29,,,97.0
2020-07-30,,,96.7
2020-07-31,,,96.9
2020-08-04,,,97.0
2020-08-05,,,97.41
2020-08-06,,,97.16
2020-08-07,,,97.75
2020-08-10,,,97.65
2020-08-11,,,98.08
2020-08-12,,,97.72
2020-08-13,,,97.54
2020-08-14,,,97.53
2020-08-17,,,97.94
2020-08-18,,,98.0
2020-08-19,,,98.64
2020-08-20,,,98.15
2020-08-21,,,98.95
2020-08-24,,,98.95
2020-08-25,,,98.76
2020-08-26,,,99.5
2020-08-27,,,100.33
2020-08-28,,,100.53
2020-08-31,,,101.34
2020-09-01,,,101.29
2020-09-02,,,101.75
2020-09-03,,,101.43
2020-09-04,,,101.12
2020-09-07,,,101.6
2020-09-08,,,101.48
2020-09-09,,,101.96
2020-09-10,,,100.54
2020-09-11,,,99.6
2020-09-14,,,97.99
2020-09-15,,,99.02
2020-09-16,,,99.29
2020-09-17,,,100.42
2020-09-18,,,99.0
2020-09-21,,,99.5
2020-09-22,,,99.46
2020-09-23,,,98.18
2020-09-24,,,97.84
2020-09-25,,,97.78
2020-09-28,,,98.34
2020-09-29,,,98.71
2020-09-30,,,98.66
2020-10-01,,,99.4
2020-10-02,,,99.06
2020-10-05,,,99.15
2020-10-06,,,98.85
2020-10-07,,,98.69
2020-10-08,,,99.14
2020-10-09,,,99.24
2020-10-12,,,99.77
2020-10-13,,,99.49
2020-10-14,,,99.65
2020-10-15,,,98.56
2020-10-16,,,98.57
2020-10-19,,,98.59
2020-10-20,,,97.6
2020-10-21,,,98.35
2020-10-22,,,98.9
2020-10-23,,,99.45
2020-10-26,,,99.64
2020-10-27,,,99.66
2020-10-28,,,99.33
2020-10-29,,,99.06
2020-10-30,,,99.24
2020-11-02,,,98.89
2020-11-03,,,98.84
2020-11-04,,,100.15
2020-11-05,,,100.17
2020-11-06,,,99.95
2020-11-09,,,100.57
2020-11-10,,,99.99
2020-11-11,,,100.7
2020-11-12,,,99.68
2020-11-13,,,99.34
2020-11-16,,,99.41
2020-11-17,,,99.43
2020-11-18,,,99.53
2020-11-19,,,99.13
2020-11-20,,,99.4
2020-11-23,,,99.22
2020-11-24,,,99.48
2020-11-25,,,99.39
2020-11-26,,,99.79
2020-11-27,,,98.26
2020-11-30,,,97.89
2020-12-01,,,97.2
2020-12-02,,,94.87
2020-12-03,,,93.51
2020-12-04,,,92.82
2020-12-07,,,93.27
2020-12-08,,,93.6
2020-12-09,,,94.83
2020-12-10,,,95.48
2020-12-11,,,96.2
2020-12-14,,,96.49
2020-12-15,,,96.09
2020-12-16,,,96.39
2020-12-17,,,96.79
2020-12-18,,,97.09
2020-12-21,,,96.66
2020-12-22,,,96.42
2020-12-23,,,96.71
2020-12-28,,,97.02
2020-12-29,,,96.95
2020-12-30,,,97.42
2020-12-31,,,98.41
2021-01-04,,,98.08
2021-01-05,,,97.99
2021-01-06,,,98.73
2021-01-07,,,98.06
2021-01-08,,,98.69
2021-01-11,,,99.52
2021-01-12,,,99.22
2021-01-13,,,99.16
2021-01-14,,,100.12
2021-01-15,,,99.72
2021-01-18,,,99.74
2021-01-19,,,99.84
2021-01-20,,,100.35
2021-01-21,,,100.27
2021-01-22,,,99.54
2021-01-25,,,99.83
2021-01-26,,,99.93
2021-01-27,,,99.72
2021-01-28,,,97.97
2021-01-29,,,98.7
2021-02-01,,,98.73
2021-02-02,,,98.51
2021-02-03,,,98.93
2021-02-04,,,99.23
2021-02-05,,,98.28
2021-02-08,,,98.61
2021-02-09,,,98.25
2021-02-10,,,98.96
2021-02-11,,,99.62
2021-02-12,,,99.45
2021-02-15,,,99.71
2021-02-16,,,99.67
2021-02-17,,,100.04
2021-02-18,,,100.4
