date,buy,sell,mean
2020-03-31,,,79.4
2020-04-01,,,79.81
2020-04-02,,,79.37
2020-04-03,,,79.61
2020-04-06,,,79.51
2020-04-07,,,79.4
2020-04-08,,,79.61
2020-04-14,,,79.71
2020-04-15,,,79.81
2020-04-16,,,79.91
2020-04-17,,,80.02
2020-04-20,,,80.12
2020-04-21,,,80.37
2020-04-22,,,80.82
2020-04-24,,,81.09
2020-04-27,,,81.09
2020-04-28,,,81.45
2020-04-29,,,81.55
2020-04-30,,,81.45
2020-05-04,,,81.55
2020-05-05,,,81.55
2020-05-06,,,81.45
2020-05-07,,,81.35
2020-05-08,,,81.04
2020-05-11,,,81.04
2020-05-12,,,81.14
2020-05-13,,,80.94
2020-05-14,,,80.94
2020-05-15,,,80.94
2020-05-18,,,80.43
2020-05-19,,,80.02
2020-05-20,,,80.02
2020-05-22,,,79.91
2020-05-25,,,79.51
2020-05-26,,,78.89
2020-05-27,,,77.31
2020-05-28,,,77.1
2020-05-29,,,77.1
2020-06-02,,,77.21
2020-06-03,,,77.2
2020-06-04,,,76.07
2020-06-05,,,76.13
2020-06-08,,,76.34
2020-06-09,,,76.54
2020-06-10,,,76.85
