date,buy,sell,mean
1981-01-01,5.236,5.251,5.2435
1981-01-05,5.232,5.247,5.2395
1981-01-06,5.24,5.255,5.2475
1981-01-07,5.251,5.267,5.259
1981-01-08,5.24,5.256,5.248
1981-01-09,5.25,5.265,5.2575
1981-01-12,5.255,5.27,5.2625
1981-01-13,5.234,5.249,5.2415
1981-01-14,5.241,5.257,5.249
1981-01-15,5.231,5.246,5.2385
1981-01-16,5.227,5.242,5.2345
1981-01-19,5.236,5.251,5.2435
1981-01-20,5.232,5.247,5.2395
1981-01-21,5.242,5.257,5.2495
1981-01-22,5.233,5.248,5.2405
1981-01-23,5.227,5.242,5.2345
1981-01-26,5.235,5.25,5.2425
1981-01-27,5.238,5.253,5.2455
1981-01-28,5.219,5.234,5.2265
1981-01-29,5.193,5.208,5.2005
1981-01-30,5.211,5.226,5.2185
1981-02-02,5.22,5.235,5.2275
1981-02-03,5.212,5.227,5.2195
1981-02-04,5.208,5.223,5.2155
1981-02-05,5.221,5.237,5.229
1981-02-06,5.197,5.212,5.2045
1981-02-09,5.211,5.226,5.2185
1981-02-10,5.39,5.405,5.3975
1981-02-11,5.407,5.422,5.4145
1981-02-12,5.428,5.443,5.4355
1981-02-13,5.457,5.472,5.4645
1981-02-16,5.514,5.529,5.5215
1981-02-17,5.45,5.465,5.4575
1981-02-18,5.423,5.438,5.4305
1981-02-19,5.441,5.456,5.4485
1981-02-20,5.382,5.397,5.3895
1981-02-23,5.422,5.437,5.4295
1981-02-24,5.422,5.437,5.4295
1981-02-25,5.441,5.456,5.4485
1981-02-26,5.446,5.461,5.4535
1981-02-27,5.467,5.482,5.4745
1981-03-02,5.493,5.508,5.5005
1981-03-03,5.496,5.511,5.5035
1981-03-04,5.449,5.464,5.4565
1981-03-05,5.47,5.485,5.4775
1981-03-06,5.494,5.509,5.5015
1981-03-09,5.49,5.505,5.4975
1981-03-10,5.462,5.477,5.4695
1981-03-11,5.451,5.466,5.4585
1981-03-12,5.458,5.474,5.466
1981-03-13,5.47,5.485,5.4775
