date,buy,sell,mean
1981-01-01,3.5198,3.5299,3.5249
1981-01-05,3.5218,3.5319,3.5269
1981-01-06,3.56,3.5703,3.5652
1981-01-07,3.5499,3.5601,3.555
1981-01-08,3.5063,3.5164,3.5114
1981-01-09,3.502,3.5121,3.5071
1981-01-12,3.475,3.4851,3.4801
1981-01-13,3.4319,3.4419,3.4369
1981-01-14,3.4515,3.4615,3.4565
1981-01-15,3.4363,3.4462,3.4413
1981-01-16,3.41,3.4198,3.4149
1981-01-19,3.4221,3.432,3.4271
1981-01-20,3.415,3.4249,3.42
1981-01-21,3.4482,3.4581,3.4532
1981-01-22,3.4146,3.4245,3.4196
1981-01-23,3.3899,3.3997,3.3948
1981-01-26,3.3676,3.3773,3.3725
1981-01-27,3.3468,3.3564,3.3516
1981-01-28,3.3086,3.3181,3.3134
1981-01-29,3.2893,3.2988,3.2941
1981-01-30,3.2423,3.2516,3.247
1981-02-02,3.255,3.2644,3.2597
1981-02-03,3.2051,3.2144,3.2098
1981-02-04,3.2322,3.2415,3.2369
1981-02-05,3.2385,3.2478,3.2432
1981-02-06,3.2109,3.2202,3.2156
1981-02-09,3.2158,3.2251,3.2205
1981-02-10,3.3282,3.3375,3.3329
1981-02-11,3.3183,3.3275,3.3229
1981-02-12,3.2843,3.2934,3.2889
1981-02-13,3.2657,3.2747,3.2702
1981-02-16,3.2237,3.2325,3.2281
1981-02-17,3.3005,3.3095,3.305
1981-02-18,3.321,3.3301,3.3256
1981-02-19,3.3396,3.3488,3.3442
1981-02-20,3.4007,3.4102,3.4055
1981-02-23,3.4065,3.416,3.4113
1981-02-24,3.4222,3.4317,3.427
1981-02-25,3.4093,3.4188,3.4141
1981-02-26,3.3748,3.3841,3.3795
1981-02-27,3.3461,3.3552,3.3507
1981-03-02,3.3244,3.3335,3.329
1981-03-03,3.32,3.329,3.3245
1981-03-04,3.3891,3.3984,3.3938
1981-03-05,3.3746,3.3839,3.3793
1981-03-06,3.3543,3.3635,3.3589
1981-03-09,3.3668,3.376,3.3714
1981-03-10,3.388,3.3973,3.3927
