date,buy,sell,mean
2020-03-31,,,19.964
2020-04-01,,,20.106
2020-04-02,,,20.007
2020-04-03,,,20.305
2020-04-06,,,20.287
2020-04-07,,,20.229
2020-04-08,,,20.275
2020-04-14,,,20.178
2020-04-15,,,20.262
2020-04-16,,,20.307
2020-04-17,,,20.433
2020-04-20,,,20.395
2020-04-21,,,20.452
2020-04-22,,,20.537
2020-04-24,,,20.76
2020-04-27,,,20.627
2020-04-28,,,20.691
2020-04-29,,,20.773
2020-04-30,,,20.773
2020-05-04,,,20.645
2020-05-05,,,20.823
2020-05-06,,,20.78
2020-05-07,,,20.816
2020-05-08,,,20.662
2020-05-11,,,20.649
2020-05-12,,,20.683
2020-05-13,,,20.555
2020-05-14,,,20.658
2020-05-15,,,20.616
2020-05-18,,,20.442
2020-05-19,,,20.081
2020-05-20,,,20.139
2020-05-22,,,20.093
2020-05-25,,,19.982
2020-05-26,,,19.743
2020-05-27,,,19.18
2020-05-28,,,19.147
2020-05-29,,,18.971
2020-06-02,,,19.033
2020-06-03,,,18.952
2020-06-04,,,18.656
2020-06-05,,,18.53
2020-06-08,,,18.722
2020-06-09,,,18.736
2020-06-10,,,18.719
2020-06-11,,,18.87
2020-06-12,,,19.0
2020-06-15,,,19.027
2020-06-16,,,19.071
2020-06-18,,,19.191
2020-06-19,,,19.421
2020-06-22,,,19.475
2020-06-23,,,19.652
2020-06-24,,,19.661
2020-06-25,,,19.764
2020-06-26,,,19.489
2020-06-29,,,19.467
2020-06-30,,,19.589
2020-07-01,,,19.656
2020-07-02,,,19.582
2020-07-03,,,19.697
2020-07-06,,,19.816
2020-07-07,,,19.821
2020-07-08,,,19.875
2020-07-09,,,20.064
2020-07-10,,,20.104
2020-07-13,,,20.076
2020-07-14,,,20.009
2020-07-15,,,20.02
2020-07-16,,,20.064
2020-07-17,,,20.042
2020-07-20,,,20.005
2020-07-21,,,19.938
2020-07-22,,,19.487
2020-07-23,,,19.457
2020-07-24,,,19.412
2020-07-27,,,19.261
2020-07-28,,,19.302
2020-07-29,,,19.323
2020-07-30,,,19.327
2020-07-31,,,19.33
2020-08-04,,,19.457
2020-08-05,,,19.457
2020-08-06,,,19.467
2020-08-07,,,19.502
2020-08-10,,,19.6
2020-08-11,,,19.663
2020-08-12,,,19.705
2020-08-13,,,19.578
2020-08-14,,,19.633
2020-08-17,,,19.634
2020-08-18,,,19.565
2020-08-19,,,19.647
