date,buy,sell,mean
1981-01-01,1.034,1.037,1.0355
1981-01-05,1.0373,1.0403,1.0388
1981-01-06,1.047,1.05,1.0485
1981-01-07,1.0435,1.0465,1.045
1981-01-08,1.0312,1.0342,1.0327
1981-01-09,1.0273,1.0303,1.0288
1981-01-12,1.0261,1.029,1.0276
1981-01-13,1.0127,1.0157,1.0142
1981-01-14,1.0172,1.0201,1.0187
1981-01-15,1.0127,1.0156,1.0142
1981-01-16,1.0033,1.0062,1.0048
1981-01-19,1.0118,1.0147,1.0133
1981-01-20,1.0099,1.0128,1.0114
1981-01-21,1.0181,1.021,1.0196
1981-01-22,1.0075,1.0104,1.009
1981-01-23,0.9989,1.0018,1.0004
1981-01-26,0.9885,0.9914,0.99
1981-01-27,0.9836,0.9865,0.9851
1981-01-28,0.9714,0.9742,0.9728
1981-01-29,0.967,0.9698,0.9684
1981-01-30,0.957,0.9598,0.9584
1981-02-02,0.9606,0.9634,0.962
1981-02-03,0.9415,0.9442,0.9429
1981-02-04,0.9515,0.9543,0.9529
1981-02-05,0.9563,0.9591,0.9577
1981-02-06,0.9482,0.951,0.9496
1981-02-09,0.9502,0.953,0.9516
1981-02-10,0.9851,0.9878,0.9865
1981-02-11,0.9817,0.9844,0.9831
1981-02-12,0.9775,0.9802,0.9789
1981-02-13,0.9723,0.9749,0.9736
1981-02-16,0.9628,0.9654,0.9641
1981-02-17,0.9763,0.979,0.9777
1981-02-18,0.9813,0.984,0.9827
1981-02-19,0.9803,0.983,0.9817
1981-02-20,0.9951,0.9979,0.9965
1981-02-23,0.9944,0.9972,0.9958
1981-02-24,0.9937,0.9964,0.9951
1981-02-25,0.9903,0.993,0.9917
1981-02-26,0.989,0.9918,0.9904
1981-02-27,0.9843,0.987,0.9857
1981-03-02,0.9822,0.9849,0.9836
1981-03-03,0.9743,0.9769,0.9756
1981-03-04,0.9841,0.9868,0.9855
1981-03-05,0.9806,0.9833,0.982
1981-03-06,0.9788,0.9814,0.9801
1981-03-09,0.9818,0.9845,0.9832
1981-03-10,0.9857,0.9884,0.9871
1981-03-11,0.9834,0.9861,0.9848
1981-03-12,0.9848,0.9875,0.9862
1981-03-13,0.9836,0.9863,0.985
1981-03-16,0.9863,0.9891,0.9877
1981-03-17,0.9903,0.993,0.9917
1981-03-18,0.994,0.9967,0.9954
1981-03-19,0.9989,1.0017,1.0003
1981-03-20,0.9922,0.995,0.9936
1981-03-23,0.9894,0.9921,0.9908
1981-03-24,0.9882,0.9909,0.9896
1981-03-25,0.988,0.9907,0.9894
1981-03-26,0.986,0.9887,0.9874
1981-03-27,0.9811,0.9838,0.9825
1981-03-30,0.9807,0.9834,0.9821
1981-03-31,0.9844,0.9871,0.9858
1981-04-01,0.9865,0.9892,0.9879
1981-04-02,0.9874,0.9901,0.9888
1981-04-03,0.9807,0.9834,0.9821
1981-04-06,0.9787,0.9814,0.9801
1981-04-07,0.9785,0.9812,0.9799
1981-04-08,0.9835,0.9862,0.9849
1981-04-09,0.9789,0.9816,0.9803
1981-04-10,0.9776,0.9803,0.979
1981-04-13,0.9752,0.9778,0.9765
1981-04-14,0.9734,0.9761,0.9748
1981-04-15,0.9722,0.9749,0.9736
1981-04-21,0.9706,0.9732,0.9719
1981-04-22,0.9718,0.9745,0.9732
1981-04-24,0.9706,0.9732,0.9719
1981-04-27,0.9708,0.9734,0.9721
1981-04-28,0.9693,0.9719,0.9706
1981-04-29,0.9647,0.9673,0.966
1981-04-30,0.9617,0.9642,0.963
1981-05-04,0.9579,0.9605,0.9592
1981-05-05,0.9505,0.953,0.9518
1981-05-06,0.9523,0.9549,0.9536
1981-05-07,0.9508,0.9533,0.9521
1981-05-08,0.9551,0.9576,0.9564
1981-05-11,0.9521,0.9547,0.9534
1981-05-12,0.9491,0.9516,0.9504
1981-05-13,0.9491,0.9516,0.9504
1981-05-14,0.947,0.9495,0.9483
1981-05-15,0.9498,0.9523,0.9511
1981-05-18,0.9484,0.9509,0.9497
1981-05-19,0.9479,0.9504,0.9492
1981-05-20,0.9493,0.9518,0.9506
1981-05-21,0.948,0.9505,0.9493
1981-05-22,0.9471,0.9496,0.9484
1981-05-25,0.9443,0.9467,0.9455
1981-05-26,0.9398,0.9423,0.9411
1981-05-27,0.9358,0.9382,0.937
1981-05-29,0.9805,0.9833,0.9819
1981-06-01,0.9778,0.9805,0.9792
1981-06-02,0.9705,0.9732,0.9719
1981-06-03,0.9727,0.9754,0.9741
1981-06-04,0.9714,0.9741,0.9728
1981-06-05,0.9656,0.9682,0.9669
