date,buy,sell,mean
1999-01-05,81.39,81.89,81.64
1999-01-06,81.15,81.65,81.4
1999-01-07,80.85,81.35,81.1
1999-01-08,80.72,81.22,80.97
1999-01-11,80.34,80.84,80.59
1999-01-12,80.24,80.74,80.49
1999-01-13,80.84,81.34,81.09
1999-01-14,80.66,81.16,80.91
1999-01-15,80.57,81.07,80.82
1999-01-18,80.19,80.69,80.44
1999-01-19,80.37,80.87,80.62
1999-01-20,80.25,80.75,80.5
1999-01-21,80.21,80.71,80.46
1999-01-22,80.23,80.73,80.48
1999-01-25,80.12,80.62,80.37
1999-01-26,79.76,80.26,80.01
1999-01-27,79.67,80.17,79.92
1999-01-28,79.58,80.08,79.83
1999-01-29,79.49,79.99,79.74
1999-02-01,79.37,79.87,79.62
1999-02-02,79.17,79.67,79.42
1999-02-03,79.33,79.83,79.58
1999-02-04,79.05,79.55,79.3
1999-02-05,79.25,79.75,79.5
1999-02-08,78.98,79.48,79.23
1999-02-09,79.31,79.81,79.56
1999-02-10,79.3,79.8,79.55
1999-02-11,79.4,79.9,79.65
1999-02-12,79.25,79.75,79.5
1999-02-15,79.35,79.85,79.6
1999-02-16,79.45,79.95,79.7
1999-02-17,79.49,79.99,79.74
1999-02-18,79.78,80.28,80.03
1999-02-19,79.53,80.03,79.78
1999-02-22,79.26,79.76,79.51
1999-02-23,79.37,79.87,79.62
1999-02-24,79.13,79.63,79.38
1999-02-25,79.18,79.68,79.43
1999-02-26,79.36,79.86,79.61
1999-03-01,78.97,79.47,79.22
1999-03-02,78.67,79.15,78.91
1999-03-03,78.69,79.19,78.94
1999-03-04,78.69,79.17,78.93
1999-03-05,78.56,79.04,78.8
1999-03-08,78.69,79.17,78.93
1999-03-09,78.43,78.91,78.67
1999-03-10,78.57,79.05,78.81
1999-03-11,78.33,78.81,78.57
1999-03-12,78.32,78.8,78.56
1999-03-15,78.41,78.89,78.65
1999-03-16,78.26,78.74,78.5
1999-03-17,78.6,79.08,78.84
1999-03-18,78.63,79.11,78.87
1999-03-19,78.3,78.78,78.54
1999-03-22,78.1,78.58,78.34
1999-03-23,78.28,78.76,78.52
1999-03-24,78.35,78.83,78.59
1999-03-25,78.36,78.84,78.6
1999-03-26,78.04,78.52,78.28
1999-03-29,77.81,78.29,78.05
1999-03-30,77.72,78.2,77.96
1999-03-31,77.83,78.31,78.07
1999-04-06,78.19,78.67,78.43
1999-04-07,78.62,79.1,78.86
1999-04-08,78.58,79.06,78.82
1999-04-09,78.57,79.05,78.81
1999-04-12,78.79,79.29,79.04
1999-04-13,78.66,79.14,78.9
1999-04-14,78.38,78.86,78.62
1999-04-15,78.26,78.74,78.5
1999-04-16,77.87,78.35,78.11
1999-04-19,77.55,78.03,77.79
1999-04-20,77.52,78.0,77.76
1999-04-21,77.48,77.96,77.72
1999-04-23,77.67,78.15,77.91
1999-04-26,77.66,78.14,77.9
1999-04-27,77.76,78.24,78.0
1999-04-28,77.87,78.35,78.11
1999-04-29,77.64,78.12,77.88
1999-04-30,77.68,78.16,77.92
1999-05-03,77.9,78.38,78.14
1999-05-04,78.04,78.52,78.28
1999-05-05,78.22,78.7,78.46
1999-05-06,78.7,79.2,78.95
1999-05-07,78.78,79.28,79.03
1999-05-10,78.67,79.15,78.91
1999-05-11,78.77,79.27,79.02
1999-05-12,78.42,78.9,78.66
1999-05-14,78.31,78.79,78.55
1999-05-17,78.11,78.59,78.35
1999-05-18,78.16,78.64,78.4
1999-05-19,77.93,78.41,78.17
1999-05-20,78.21,78.69,78.45
1999-05-21,77.96,78.44,78.2
1999-05-25,78.06,78.54,78.3
1999-05-26,77.97,78.45,78.21
1999-05-27,77.67,78.15,77.91
1999-05-28,77.88,78.36,78.12
1999-05-31,77.64,78.12,77.88
1999-06-01,77.64,78.12,77.88
1999-06-02,77.15,77.63,77.39
1999-06-03,77.13,77.61,77.37
1999-06-04,76.89,77.37,77.13
1999-06-07,76.8,77.28,77.04
1999-06-08,77.09,77.57,77.33
1999-06-09,77.34,77.82,77.58
