date,buy,sell,mean
1981-01-01,14.89,14.933,14.9115
1981-01-05,14.964,15.008,14.986
1981-01-06,15.111,15.154,15.1325
1981-01-07,15.08,15.123,15.1015
1981-01-08,14.973,15.016,14.9945
1981-01-09,14.963,15.006,14.9845
1981-01-12,14.974,15.017,14.9955
1981-01-13,14.869,14.912,14.8905
1981-01-14,14.915,14.958,14.9365
1981-01-15,14.943,14.986,14.9645
1981-01-16,14.946,14.989,14.9675
1981-01-19,15.05,15.094,15.072
1981-01-20,15.024,15.067,15.0455
1981-01-21,15.114,15.158,15.136
1981-01-22,15.063,15.106,15.0845
1981-01-23,14.983,15.026,15.0045
1981-01-26,14.98,15.023,15.0015
1981-01-27,15.042,15.086,15.064
1981-01-28,14.988,15.031,15.0095
1981-01-29,14.961,15.005,14.983
1981-01-30,14.865,14.908,14.8865
1981-02-02,14.703,14.745,14.724
1981-02-03,14.556,14.598,14.577
1981-02-04,14.65,14.692,14.671
1981-02-05,14.684,14.727,14.7055
1981-02-06,14.553,14.595,14.574
1981-02-09,14.569,14.611,14.59
1981-02-10,15.114,15.157,15.1355
1981-02-11,15.117,15.159,15.138
1981-02-12,15.124,15.166,15.145
1981-02-13,15.071,15.113,15.092
1981-02-16,14.931,14.972,14.9515
1981-02-17,14.9,14.94,14.92
1981-02-18,14.849,14.889,14.869
1981-02-19,14.835,14.876,14.8555
1981-02-20,14.882,14.924,14.903
1981-02-23,14.684,14.724,14.704
1981-02-24,14.575,14.615,14.595
1981-02-25,14.529,14.569,14.549
1981-02-26,14.542,14.582,14.562
1981-02-27,14.473,14.512,14.4925
1981-03-02,14.391,14.43,14.4105
1981-03-03,14.453,14.492,14.4725
1981-03-04,14.499,14.539,14.519
1981-03-05,14.442,14.482,14.462
1981-03-06,14.413,14.453,14.433
1981-03-09,14.378,14.418,14.398
1981-03-10,14.459,14.499,14.479
1981-03-11,14.526,14.566,14.546
1981-03-12,14.49,14.53,14.51
1981-03-13,14.49,14.53,14.51
1981-03-16,14.51,14.55,14.53
1981-03-17,14.609,14.65,14.6295
1981-03-18,14.645,14.686,14.6655
1981-03-19,14.623,14.664,14.6435
1981-03-20,14.645,14.686,14.6655
1981-03-23,14.594,14.634,14.614
1981-03-24,14.658,14.699,14.6785
1981-03-25,14.689,14.73,14.7095
1981-03-26,14.675,14.716,14.6955
1981-03-27,14.645,14.685,14.665
