date,buy,sell,mean
2020-03-31,,,18.28
2020-04-01,,,18.409
2020-04-02,,,18.32
2020-04-03,,,18.573
2020-04-06,,,18.561
2020-04-07,,,18.407
2020-04-08,,,18.471
2020-04-14,,,18.382
2020-04-15,,,18.465
2020-04-16,,,18.541
2020-04-17,,,18.652
2020-04-20,,,18.614
2020-04-21,,,18.715
2020-04-22,,,18.771
2020-04-24,,,18.969
2020-04-27,,,18.848
2020-04-28,,,18.895
2020-04-29,,,18.968
2020-04-30,,,18.893
2020-05-04,,,18.804
2020-05-05,,,18.969
2020-05-06,,,19.03
2020-05-07,,,19.031
2020-05-08,,,18.86
2020-05-11,,,18.897
2020-05-12,,,18.917
2020-05-13,,,18.813
2020-05-14,,,18.917
2020-05-15,,,18.895
2020-05-18,,,18.766
2020-05-19,,,18.412
2020-05-20,,,18.455
2020-05-22,,,18.49
2020-05-25,,,18.39
