date,buy,sell,mean
2020-03-31,,,20.374
2020-04-01,,,20.473
2020-04-02,,,20.342
2020-04-03,,,20.405
2020-04-06,,,20.396
2020-04-07,,,20.355
2020-04-08,,,20.41
2020-04-14,,,20.482
2020-04-15,,,20.506
2020-04-16,,,20.538
2020-04-17,,,20.67
2020-04-20,,,20.789
2020-04-21,,,20.776
2020-04-22,,,20.888
2020-04-24,,,20.989
2020-04-27,,,21.003
2020-04-28,,,21.092
2020-04-29,,,21.08
2020-04-30,,,21.026
2020-05-04,,,21.049
2020-05-05,,,21.063
2020-05-06,,,21.046
2020-05-07,,,21.02
2020-05-08,,,20.968
2020-05-11,,,20.964
2020-05-12,,,20.982
2020-05-13,,,20.905
2020-05-14,,,20.906
2020-05-15,,,20.905
2020-05-18,,,20.811
2020-05-19,,,20.673
2020-05-20,,,20.652
2020-05-22,,,20.608
2020-05-25,,,20.502
2020-05-26,,,20.339
2020-05-27,,,19.92
2020-05-28,,,19.867
2020-05-29,,,19.864
2020-06-02,,,19.897
2020-06-03,,,19.938
2020-06-04,,,19.65
2020-06-05,,,19.661
2020-06-08,,,19.734
2020-06-09,,,19.796
2020-06-10,,,19.856
2020-06-11,,,20.045
2020-06-12,,,20.102
2020-06-15,,,20.099
2020-06-16,,,20.237
2020-06-18,,,20.264
2020-06-19,,,20.35
2020-06-22,,,20.421
2020-06-23,,,20.684
2020-06-24,,,20.738
2020-06-25,,,20.729
2020-06-26,,,20.508
2020-06-29,,,20.527
2020-06-30,,,20.531
2020-07-01,,,20.572
2020-07-02,,,20.659
2020-07-03,,,20.681
2020-07-06,,,20.806
2020-07-07,,,20.796
2020-07-08,,,20.851
2020-07-09,,,21.055
2020-07-10,,,21.096
2020-07-13,,,21.127
2020-07-14,,,21.194
2020-07-15,,,21.248
2020-07-16,,,21.233
2020-07-17,,,21.251
2020-07-20,,,21.262
2020-07-21,,,21.191
2020-07-22,,,20.977
2020-07-23,,,20.978
2020-07-24,,,20.994
2020-07-27,,,21.048
2020-07-28,,,21.129
2020-07-29,,,21.189
2020-07-30,,,21.233
2020-07-31,,,21.345
2020-08-04,,,21.426
2020-08-05,,,21.425
2020-08-06,,,21.447
2020-08-07,,,21.503
2020-08-10,,,21.504
2020-08-11,,,21.529
2020-08-12,,,21.52
2020-08-13,,,21.44
2020-08-14,,,21.382
2020-08-17,,,21.446
2020-08-18,,,21.403
2020-08-19,,,21.513
2020-08-20,,,21.542
2020-08-21,,,21.604
2020-08-24,,,21.612
2020-08-25,,,21.612
2020-08-26,,,21.683
2020-08-27,,,21.719
2020-08-28,,,21.723
2020-08-31,,,21.824
2020-09-01,,,21.833
2020-09-02,,,21.839
2020-09-03,,,21.83
2020-09-04,,,21.848
2020-09-07,,,21.88
2020-09-08,,,21.942
2020-09-09,,,22.005
2020-09-10,,,21.721
2020-09-11,,,21.465
2020-09-14,,,21.23
2020-09-15,,,21.307
2020-09-16,,,21.295
2020-09-17,,,21.508
2020-09-18,,,21.322
2020-09-21,,,21.422
2020-09-22,,,21.473
2020-09-23,,,21.376
2020-09-24,,,21.429
2020-09-25,,,21.432
2020-09-28,,,21.506
2020-09-29,,,21.453
2020-09-30,,,21.465
2020-10-01,,,21.445
2020-10-02,,,21.448
2020-10-05,,,21.457
2020-10-06,,,21.51
2020-10-07,,,21.514
2020-10-08,,,21.51
2020-10-09,,,21.502
2020-10-12,,,21.552
2020-10-13,,,21.535
2020-10-14,,,21.537
2020-10-15,,,21.523
2020-10-16,,,21.523
2020-10-19,,,21.544
2020-10-20,,,21.643
2020-10-21,,,21.734
2020-10-22,,,21.719
2020-10-23,,,21.758
2020-10-26,,,21.813
2020-10-27,,,21.824
2020-10-28,,,21.781
2020-10-29,,,21.815
2020-10-30,,,21.694
2020-11-02,,,21.6
2020-11-03,,,21.616
2020-11-04,,,21.699
2020-11-05,,,21.703
2020-11-06,,,21.631
2020-11-09,,,21.563
2020-11-10,,,21.463
2020-11-11,,,21.537
2020-11-12,,,21.409
2020-11-13,,,21.382
2020-11-16,,,21.317
2020-11-17,,,21.343
2020-11-18,,,21.344
2020-11-19,,,21.32
2020-11-20,,,21.318
2020-11-23,,,21.307
2020-11-24,,,21.28
2020-11-25,,,21.284
2020-11-26,,,21.354
2020-11-27,,,21.042
2020-11-30,,,21.049
2020-12-01,,,20.949
2020-12-02,,,20.577
2020-12-03,,,20.271
2020-12-04,,,20.168
2020-12-07,,,20.251
2020-12-08,,,20.278
2020-12-09,,,20.336
2020-12-10,,,20.45
2020-12-11,,,20.536
2020-12-14,,,20.586
2020-12-15,,,20.552
2020-12-16,,,20.596
2020-12-17,,,20.633
2020-12-18,,,20.763
2020-12-21,,,20.777
2020-12-22,,,20.698
2020-12-23,,,20.666
2020-12-28,,,20.693
2020-12-29,,,20.717
2020-12-30,,,20.687
2020-12-31,,,20.675
2021-01-04,,,20.675
2021-01-05,,,20.652
2021-01-06,,,20.673
2021-01-07,,,20.525
2021-01-08,,,20.545
2021-01-11,,,20.727
2021-01-12,,,20.607
2021-01-13,,,20.575
2021-01-14,,,20.69
2021-01-15,,,20.705
2021-01-18,,,20.76
2021-01-19,,,20.752
2021-01-20,,,20.784
2021-01-21,,,20.727
2021-01-22,,,20.751
2021-01-25,,,20.749
2021-01-26,,,20.759
2021-01-27,,,20.771
2021-01-28,,,20.614
2021-01-29,,,20.632
2021-02-01,,,20.631
2021-02-02,,,20.591
2021-02-03,,,20.623
2021-02-04,,,20.617
2021-02-05,,,20.486
2021-02-08,,,20.466
2021-02-09,,,20.363
2021-02-10,,,20.517
2021-02-11,,,20.584
2021-02-12,,,20.579
2021-02-15,,,20.55
2021-02-16,,,20.549
2021-02-17,,,20.58
2021-02-18,,,20.564
2021-02-19,,,20.533
2021-02-22,,,20.551
2021-02-23,,,20.483
2021-02-24,,,20.394
2021-02-25,,,20.199
2021-02-26,,,20.164
2021-03-01,,,20.31
2021-03-02,,,20.062
2021-03-03,,,20.117
2021-03-04,,,20.204
2021-03-05,,,20.188
2021-03-08,,,20.151
2021-03-09,,,19.987
2021-03-10,,,20.048
2021-03-11,,,20.207
2021-03-12,,,20.281
2021-03-15,,,20.252
2021-03-16,,,20.009
2021-03-17,,,19.983
2021-03-18,,,20.013
2021-03-19,,,19.985
2021-03-22,,,19.954
2021-03-23,,,19.576
2021-03-24,,,19.82
2021-03-25,,,19.776
2021-03-26,,,19.778
2021-03-29,,,19.941
2021-03-30,,,19.618
2021-03-31,,,19.563
2021-04-06,,,19.749
2021-04-07,,,19.852
2021-04-08,,,19.912
2021-04-09,,,20.049
2021-04-12,,,20.071
2021-04-13,,,20.067
2021-04-14,,,20.039
2021-04-15,,,20.088
2021-04-16,,,20.074
2021-04-19,,,20.037
2021-04-20,,,20.062
2021-04-21,,,19.88
2021-04-23,,,19.973
2021-04-26,,,19.961
2021-04-27,,,19.844
2021-04-28,,,19.682
2021-04-29,,,19.643
2021-04-30,,,19.821
2021-05-03,,,20.016
2021-05-04,,,19.731
2021-05-05,,,20.023
2021-05-06,,,20.031
2021-05-07,,,19.973
2021-05-10,,,20.011
2021-05-11,,,20.019
2021-05-12,,,20.022
2021-05-14,,,20.069
2021-05-17,,,20.105
2021-05-18,,,19.986
2021-05-19,,,19.934
2021-05-20,,,19.881
2021-05-21,,,19.614
2021-05-25,,,19.738
2021-05-26,,,19.742
2021-05-27,,,19.513
2021-05-28,,,19.487
2021-05-31,,,19.662
2021-06-01,,,19.644
2021-06-02,,,19.468
2021-06-03,,,19.497
2021-06-04,,,19.599
2021-06-07,,,19.558
2021-06-08,,,19.593
2021-06-09,,,19.577
2021-06-10,,,19.581
2021-06-11,,,19.648
2021-06-14,,,19.656
2021-06-15,,,19.657
2021-06-16,,,19.602
2021-06-18,,,19.523
2021-06-21,,,19.602
2021-06-22,,,19.549
2021-06-23,,,19.518
2021-06-24,,,19.494
2021-06-25,,,19.619
2021-06-28,,,19.647
2021-06-29,,,19.65
2021-06-30,,,19.558
2021-07-01,,,19.59
2021-07-02,,,19.67
2021-07-05,,,19.641
2021-07-06,,,19.651
2021-07-07,,,19.541
2021-07-08,,,19.528
2021-07-09,,,19.523
2021-07-12,,,19.519
2021-07-13,,,19.553
2021-07-14,,,19.527
2021-07-15,,,19.502
2021-07-16,,,19.462
2021-07-19,,,19.463
2021-07-20,,,19.532
2021-07-21,,,19.661
2021-07-22,,,19.675
2021-07-23,,,19.773
2021-07-26,,,19.749
2021-07-27,,,19.851
2021-07-28,,,19.771
2021-07-29,,,19.604
2021-07-30,,,19.544
2021-08-03,,,19.541
2021-08-04,,,19.674
2021-08-05,,,19.731
