date,buy,sell,mean
2020-03-31,,,1.877
2020-04-01,,,1.8942
2020-04-02,,,1.8584
2020-04-03,,,1.8936
2020-04-06,,,1.8882
2020-04-07,,,1.8872
2020-04-08,,,1.8762
2020-04-14,,,1.8703
2020-04-15,,,1.8732
2020-04-16,,,1.8694
2020-04-17,,,1.89
2020-04-20,,,1.8846
2020-04-21,,,1.8867
2020-04-22,,,1.9018
2020-04-24,,,1.9253
2020-04-27,,,1.9179
2020-04-28,,,1.9234
2020-04-29,,,1.9416
2020-04-30,,,1.9505
2020-05-04,,,1.9279
2020-05-05,,,1.9411
2020-05-06,,,1.9454
2020-05-07,,,1.9456
2020-05-08,,,1.934
2020-05-11,,,1.933
2020-05-12,,,1.9447
2020-05-13,,,1.9354
2020-05-14,,,1.9433
2020-05-15,,,1.9331
2020-05-18,,,1.9131
2020-05-19,,,1.887
2020-05-20,,,1.8912
2020-05-22,,,1.8893
2020-05-25,,,1.8792
2020-05-26,,,1.8616
2020-05-27,,,1.8146
2020-05-28,,,1.807
2020-05-29,,,1.792
2020-06-02,,,1.8001
2020-06-03,,,1.7852
2020-06-04,,,1.7585
2020-06-05,,,1.738
2020-06-08,,,1.7534
2020-06-09,,,1.7559
2020-06-10,,,1.7504
2020-06-11,,,1.7607
2020-06-12,,,1.7718
2020-06-15,,,1.774
2020-06-16,,,1.7737
2020-06-18,,,1.7861
2020-06-19,,,1.8052
2020-06-22,,,1.8129
2020-06-23,,,1.8366
2020-06-24,,,1.8376
2020-06-25,,,1.8508
2020-06-26,,,1.8249
2020-06-29,,,1.8244
2020-06-30,,,1.8336
2020-07-01,,,1.8376
2020-07-02,,,1.8504
2020-07-03,,,1.8635
2020-07-06,,,1.8659
2020-07-07,,,1.859
2020-07-08,,,1.8584
2020-07-09,,,1.8678
2020-07-10,,,1.8702
2020-07-13,,,1.869
2020-07-14,,,1.8623
2020-07-15,,,1.8617
2020-07-16,,,1.866
2020-07-17,,,1.8708
2020-07-20,,,1.8693
2020-07-21,,,1.8674
2020-07-22,,,1.8287
2020-07-23,,,1.8209
2020-07-24,,,1.8203
2020-07-27,,,1.8047
2020-07-28,,,1.8065
2020-07-29,,,1.8099
2020-07-30,,,1.8075
2020-07-31,,,1.8015
2020-08-04,,,1.8095
2020-08-05,,,1.8055
2020-08-06,,,1.8043
2020-08-07,,,1.81
2020-08-10,,,1.8233
2020-08-11,,,1.8287
2020-08-12,,,1.8296
2020-08-13,,,1.8169
2020-08-14,,,1.8217
2020-08-17,,,1.8208
2020-08-18,,,1.8143
2020-08-19,,,1.8138
2020-08-20,,,1.8252
2020-08-21,,,1.8406
2020-08-24,,,1.8559
2020-08-25,,,1.8528
2020-08-26,,,1.8608
2020-08-27,,,1.8741
2020-08-28,,,1.8744
2020-08-31,,,1.8785
2020-09-01,,,1.8824
2020-09-02,,,1.8942
2020-09-03,,,1.8938
2020-09-04,,,1.9001
2020-09-07,,,1.8988
2020-09-08,,,1.8972
2020-09-09,,,1.9148
2020-09-10,,,1.8815
2020-09-11,,,1.8544
2020-09-14,,,1.832
2020-09-15,,,1.8352
2020-09-16,,,1.8398
2020-09-17,,,1.8674
2020-09-18,,,1.848
2020-09-21,,,1.864
2020-09-22,,,1.8785
2020-09-23,,,1.8772
2020-09-24,,,1.8789
2020-09-25,,,1.8877
2020-09-28,,,1.8878
2020-09-29,,,1.8778
2020-09-30,,,1.8794
2020-10-01,,,1.8897
2020-10-02,,,1.8853
2020-10-05,,,1.8865
2020-10-06,,,1.8805
2020-10-07,,,1.8878
2020-10-08,,,1.8889
2020-10-09,,,1.8885
2020-10-12,,,1.887
2020-10-13,,,1.8884
2020-10-14,,,1.8955
2020-10-15,,,1.899
2020-10-16,,,1.8965
2020-10-19,,,1.8913
2020-10-20,,,1.8887
2020-10-21,,,1.8836
2020-10-22,,,1.8895
2020-10-23,,,1.888
2020-10-26,,,1.8939
2020-10-27,,,1.8998
2020-10-28,,,1.9006
2020-10-29,,,1.9001
2020-10-30,,,1.8901
2020-11-02,,,1.8885
2020-11-03,,,1.8908
2020-11-04,,,1.8779
2020-11-05,,,1.8734
2020-11-06,,,1.8609
2020-11-09,,,1.8529
2020-11-10,,,1.8532
2020-11-11,,,1.8576
2020-11-12,,,1.8388
2020-11-13,,,1.835
2020-11-16,,,1.8282
2020-11-17,,,1.8279
2020-11-18,,,1.8309
2020-11-19,,,1.8361
2020-11-20,,,1.8346
2020-11-23,,,1.8305
2020-11-24,,,1.8297
2020-11-25,,,1.8291
2020-11-26,,,1.8342
2020-11-27,,,1.8011
2020-11-30,,,1.8011
2020-12-01,,,1.7924
2020-12-02,,,1.7469
2020-12-03,,,1.708
2020-12-04,,,1.6939
2020-12-07,,,1.7088
2020-12-08,,,1.714
2020-12-09,,,1.7208
2020-12-10,,,1.7305
2020-12-11,,,1.7346
2020-12-14,,,1.7335
2020-12-15,,,1.729
2020-12-16,,,1.7274
2020-12-17,,,1.7269
2020-12-18,,,1.7354
2020-12-21,,,1.743
2020-12-22,,,1.731
2020-12-23,,,1.7336
2020-12-28,,,1.7339
2020-12-29,,,1.7376
2020-12-30,,,1.7361
2020-12-31,,,1.7391
2021-01-04,,,1.7403
2021-01-05,,,1.7382
2021-01-06,,,1.7326
2021-01-07,,,1.7261
2021-01-08,,,1.7346
2021-01-11,,,1.76
2021-01-12,,,1.7536
2021-01-13,,,1.7495
2021-01-14,,,1.7623
2021-01-15,,,1.7629
2021-01-18,,,1.7738
2021-01-19,,,1.7705
2021-01-20,,,1.7752
2021-01-21,,,1.7688
2021-01-22,,,1.7673
2021-01-25,,,1.7714
2021-01-26,,,1.7714
2021-01-27,,,1.7762
2021-01-28,,,1.7635
2021-01-29,,,1.7659
2021-02-01,,,1.7694
2021-02-02,,,1.7726
2021-02-03,,,1.7796
2021-02-04,,,1.7844
2021-02-05,,,1.7733
2021-02-08,,,1.7626
2021-02-09,,,1.7461
2021-02-10,,,1.7576
2021-02-11,,,1.7627
2021-02-12,,,1.7687
2021-02-15,,,1.7642
2021-02-16,,,1.761
2021-02-17,,,1.7742
2021-02-18,,,1.7762
2021-02-19,,,1.7739
2021-02-22,,,1.7726
2021-02-23,,,1.7632
2021-02-24,,,1.757
2021-02-25,,,1.7321
2021-02-26,,,1.716
2021-03-01,,,1.7377
2021-03-02,,,1.7267
2021-03-03,,,1.7329
2021-03-04,,,1.7493
2021-03-05,,,1.7552
2021-03-08,,,1.7558
2021-03-09,,,1.7471
2021-03-10,,,1.7531
2021-03-11,,,1.7669
2021-03-12,,,1.7743
2021-03-15,,,1.7758
2021-03-16,,,1.7519
2021-03-17,,,1.7524
2021-03-18,,,1.7501
2021-03-19,,,1.7554
