date,buy,sell,mean
2020-03-31,,,1.0472
2020-04-01,,,1.0652
2020-04-02,,,1.0568
2020-04-03,,,1.0733
2020-04-06,,,1.0658
2020-04-07,,,1.0496
2020-04-08,,,1.0579
2020-04-14,,,1.0418
2020-04-15,,,1.0392
2020-04-16,,,1.0452
2020-04-17,,,1.0446
2020-04-20,,,1.035
2020-04-21,,,1.0386
2020-04-22,,,1.0458
2020-04-24,,,1.0447
2020-04-27,,,1.0386
2020-04-28,,,1.0432
2020-04-29,,,1.0394
2020-04-30,,,1.034
2020-05-04,,,1.0204
2020-05-05,,,1.032
2020-05-06,,,1.0313
2020-05-07,,,1.0291
2020-05-08,,,1.0237
2020-05-11,,,1.0202
2020-05-12,,,1.0066
2020-05-13,,,0.9987
2020-05-14,,,1.0044
2020-05-15,,,1.006
2020-05-18,,,0.9935
2020-05-19,,,0.9708
2020-05-20,,,0.9755
2020-05-22,,,0.9867
2020-05-25,,,0.9846
2020-05-26,,,0.9726
2020-05-27,,,0.9495
2020-05-28,,,0.9496
2020-05-29,,,0.9404
2020-06-02,,,0.9488
2020-06-03,,,0.9454
2020-06-04,,,0.9334
2020-06-05,,,0.9194
2020-06-08,,,0.9391
2020-06-09,,,0.9421
2020-06-10,,,0.939
2020-06-11,,,0.9472
2020-06-12,,,0.9571
2020-06-15,,,0.9629
2020-06-16,,,0.9683
2020-06-18,,,0.9693
2020-06-19,,,0.9796
2020-06-22,,,0.9823
2020-06-23,,,0.9888
2020-06-24,,,0.9964
2020-06-25,,,1.0025
2020-06-26,,,0.9897
2020-06-29,,,0.986
2020-06-30,,,0.9909
2020-07-01,,,0.9987
2020-07-02,,,0.9957
2020-07-03,,,0.9953
2020-07-06,,,0.9945
2020-07-07,,,0.9886
2020-07-08,,,0.9917
2020-07-09,,,0.991
2020-07-10,,,0.9973
2020-07-13,,,0.9899
2020-07-14,,,0.9789
