date,buy,sell,mean
1981-01-01,0.0306,0.0307,0.0306
1981-01-05,0.0312,0.0313,0.0312
1981-01-06,0.0312,0.0313,0.0313
1981-01-07,0.0311,0.0312,0.0312
1981-01-08,0.031,0.0311,0.031
1981-01-09,0.0308,0.0309,0.0309
1981-01-12,0.0307,0.0308,0.0307
1981-01-13,0.0305,0.0306,0.0306
1981-01-14,0.0307,0.0308,0.0307
1981-01-15,0.0307,0.0308,0.0308
1981-01-16,0.0307,0.0308,0.0308
1981-01-19,0.0309,0.031,0.0309
1981-01-20,0.0309,0.031,0.031
1981-01-21,0.0314,0.0315,0.0314
1981-01-22,0.0311,0.0312,0.0311
1981-01-23,0.0309,0.031,0.0309
1981-01-26,0.0307,0.0308,0.0308
1981-01-27,0.0307,0.0308,0.0308
1981-01-28,0.0307,0.0307,0.0307
1981-01-29,0.0306,0.0307,0.0306
1981-01-30,0.0303,0.0304,0.0303
1981-02-02,0.0307,0.0308,0.0307
1981-02-03,0.0304,0.0305,0.0305
1981-02-04,0.0306,0.0307,0.0306
1981-02-05,0.0309,0.031,0.0309
1981-02-06,0.0307,0.0308,0.0307
1981-02-09,0.0306,0.0307,0.0307
1981-02-10,0.0317,0.0318,0.0318
1981-02-11,0.0318,0.0319,0.0319
1981-02-12,0.0318,0.0319,0.0319
1981-02-13,0.0318,0.0319,0.0319
1981-02-16,0.0318,0.0319,0.0319
1981-02-17,0.0318,0.0319,0.0319
1981-02-18,0.0318,0.0319,0.0318
1981-02-19,0.0317,0.0318,0.0318
1981-02-20,0.0314,0.0315,0.0314
1981-02-23,0.0312,0.0313,0.0313
1981-02-24,0.0314,0.0314,0.0314
1981-02-25,0.0314,0.0315,0.0315
1981-02-26,0.0315,0.0316,0.0315
1981-02-27,0.0314,0.0315,0.0314
1981-03-02,0.0313,0.0314,0.0314
1981-03-03,0.0316,0.0317,0.0316
1981-03-04,0.0315,0.0316,0.0316
1981-03-05,0.0315,0.0316,0.0316
1981-03-06,0.0316,0.0317,0.0316
1981-03-09,0.0317,0.0318,0.0318
1981-03-10,0.0316,0.0317,0.0317
1981-03-11,0.0314,0.0315,0.0315
1981-03-12,0.0315,0.0316,0.0316
1981-03-13,0.0315,0.0316,0.0315
1981-03-16,0.0314,0.0315,0.0315
1981-03-17,0.0313,0.0314,0.0313
1981-03-18,0.0312,0.0313,0.0313
1981-03-19,0.0309,0.031,0.0309
1981-03-20,0.0309,0.031,0.031
1981-03-23,0.0311,0.0312,0.0312
1981-03-24,0.0311,0.0312,0.0312
1981-03-25,0.0311,0.0312,0.0311
1981-03-26,0.0309,0.031,0.0309
1981-03-27,0.0309,0.031,0.0309
1981-03-30,0.0308,0.0309,0.0308
1981-03-31,0.0309,0.031,0.0309
1981-04-01,0.0308,0.0309,0.0308
1981-04-02,0.0307,0.0307,0.0307
1981-04-03,0.0308,0.0309,0.0308
1981-04-06,0.0308,0.0309,0.0309
1981-04-07,0.031,0.031,0.031
1981-04-08,0.0308,0.0309,0.0309
1981-04-09,0.0308,0.0309,0.0309
1981-04-10,0.0308,0.0309,0.0309
1981-04-13,0.0307,0.0308,0.0308
1981-04-14,0.0307,0.0308,0.0308
1981-04-15,0.0308,0.0308,0.0308
1981-04-21,0.0306,0.0307,0.0306
1981-04-22,0.0306,0.0307,0.0306
1981-04-24,0.0309,0.031,0.0309
1981-04-27,0.0314,0.0315,0.0314
1981-04-28,0.0313,0.0314,0.0313
1981-04-29,0.0312,0.0313,0.0313
1981-04-30,0.0312,0.0313,0.0313
1981-05-04,0.031,0.0311,0.0311
1981-05-05,0.0312,0.0313,0.0312
1981-05-06,0.0312,0.0313,0.0313
1981-05-07,0.0312,0.0313,0.0313
1981-05-08,0.0312,0.0312,0.0312
1981-05-11,0.0312,0.0313,0.0313
1981-05-12,0.0312,0.0313,0.0313
1981-05-13,0.0311,0.0312,0.0312
1981-05-14,0.0308,0.0309,0.0308
1981-05-15,0.0308,0.0309,0.0308
1981-05-18,0.0309,0.031,0.0309
1981-05-19,0.0311,0.0311,0.0311
1981-05-20,0.031,0.0311,0.0311
1981-05-21,0.0308,0.0309,0.0309
