date,buy,sell,mean
2025-01-02,,,452.02
2025-01-03,,,453.36
2025-01-06,,,450.08
2025-01-07,,,454.12
2025-01-08,,,457.37
2025-01-09,,,455.95
2025-01-10,,,457.21
2025-01-13,,,458.73
2025-01-14,,,458.11
2025-01-15,,,455.17
2025-01-16,,,458.36
2025-01-17,,,456.65
2025-01-20,,,456.97
2025-01-21,,,456.79
2025-01-22,,,455.25
2025-01-23,,,455.01
2025-01-24,,,453.43
2025-01-27,,,451.26
2025-01-28,,,454.5
2025-01-29,,,454.46
2025-01-30,,,455.21
2025-01-31,,,457.44
2025-02-03,,,459.84
2025-02-04,,,459.76
2025-02-05,,,457.09
2025-02-06,,,458.55
2025-02-07,,,457.7
2025-02-10,,,460.07
2025-02-11,,,459.71
2025-02-12,,,457.07
2025-02-13,,,457.53
2025-02-14,,,455.83
2025-02-17,,,454.66
2025-02-18,,,454.88
2025-02-19,,,453.92
2025-02-20,,,451.99
2025-02-21,,,451.01
2025-02-24,,,449.23
2025-02-25,,,449.83
2025-02-26,,,449.15
2025-02-27,,,450.19
2025-02-28,,,453.12
2025-03-03,,,450.94
2025-03-04,,,448.91
2025-03-05,,,443.94
2025-03-06,,,441.54
2025-03-07,,,440.56
2025-03-10,,,439.56
2025-03-11,,,436.88
2025-03-12,,,436.53
2025-03-13,,,437.88
2025-03-14,,,434.94
2025-03-17,,,435.15
2025-03-18,,,433.37
2025-03-19,,,433.29
2025-03-20,,,432.36
2025-03-21,,,432.62
2025-03-24,,,433.69
2025-03-25,,,431.76
2025-03-26,,,430.72
2025-03-27,,,427.84
2025-03-28,,,427.99
2025-03-31,,,427.95
2025-04-01,,,432.12
2025-04-02,,,431.4
2025-04-03,,,424.03
2025-04-04,,,425.59
2025-04-07,,,430.18
2025-04-08,,,430.31
2025-04-09,,,426.89
2025-04-10,,,424.65
2025-04-11,,,417.83
2025-04-14,,,414.79
2025-04-15,,,418.64
