date,buy,sell,mean
2020-03-31,,,0.3923
2020-04-01,,,0.395
2020-04-02,,,0.3941
2020-04-03,,,0.3986
2020-04-06,,,0.3991
2020-04-07,,,0.3958
2020-04-08,,,0.3972
2020-04-14,,,0.3952
2020-04-15,,,0.397
2020-04-16,,,0.3986
2020-04-17,,,0.401
2020-04-20,,,0.3993
2020-04-21,,,0.4015
2020-04-22,,,0.4035
2020-04-24,,,0.4068
2020-04-27,,,0.4052
2020-04-28,,,0.4063
2020-04-29,,,0.4078
2020-04-30,,,0.4061
2020-05-04,,,0.4044
2020-05-05,,,0.4079
2020-05-06,,,0.4092
2020-05-07,,,0.4092
2020-05-08,,,0.4055
2020-05-11,,,0.4063
2020-05-12,,,0.4058
2020-05-13,,,0.4045
2020-05-14,,,0.4067
2020-05-15,,,0.4054
2020-05-18,,,0.4027
2020-05-19,,,0.3959
2020-05-20,,,0.3959
2020-05-22,,,0.3969
2020-05-25,,,0.3956
2020-05-26,,,0.3907
2020-05-27,,,0.3798
2020-05-28,,,0.3794
2020-05-29,,,0.3749
2020-06-02,,,0.3743
2020-06-03,,,0.3729
2020-06-04,,,0.3677
2020-06-05,,,0.3639
2020-06-08,,,0.3666
2020-06-09,,,0.3676
2020-06-10,,,0.366
2020-06-11,,,0.3691
2020-06-12,,,0.373
2020-06-15,,,0.3738
2020-06-16,,,0.3737
2020-06-18,,,0.3762
2020-06-19,,,0.3806
2020-06-22,,,0.3814
2020-06-23,,,0.3844
2020-06-24,,,0.3848
