date,buy,sell,mean
1981-01-01,1.2026,1.2061,1.2044
1981-01-05,1.2084,1.2119,1.2102
1981-01-06,1.2176,1.2211,1.2194
1981-01-07,1.2188,1.2223,1.2206
1981-01-08,1.2119,1.2155,1.2137
1981-01-09,1.2112,1.2147,1.213
1981-01-12,1.2091,1.2126,1.2109
1981-01-13,1.1991,1.2026,1.2009
1981-01-14,1.2023,1.2058,1.2041
1981-01-15,1.1996,1.203,1.2013
1981-01-16,1.1878,1.1912,1.1895
1981-01-19,1.1946,1.1981,1.1964
1981-01-20,1.1896,1.1931,1.1914
1981-01-21,1.1944,1.1978,1.1961
1981-01-22,1.1884,1.1918,1.1901
1981-01-23,1.1805,1.1839,1.1822
1981-01-26,1.1713,1.1747,1.173
1981-01-27,1.162,1.1654,1.1637
1981-01-28,1.1526,1.156,1.1543
1981-01-29,1.1562,1.1595,1.1579
1981-01-30,1.1414,1.1447,1.1431
1981-02-02,1.15,1.1533,1.1517
1981-02-03,1.1475,1.1509,1.1492
1981-02-04,1.1517,1.155,1.1534
1981-02-05,1.1621,1.1655,1.1638
1981-02-06,1.1561,1.1594,1.1578
1981-02-09,1.1582,1.1616,1.1599
1981-02-10,1.1978,1.2012,1.1995
1981-02-11,1.1944,1.1977,1.1961
1981-02-12,1.1915,1.1948,1.1932
1981-02-13,1.1938,1.1971,1.1955
1981-02-16,1.1976,1.2009,1.1993
1981-02-17,1.2045,1.2078,1.2062
1981-02-18,1.2179,1.2212,1.2196
1981-02-19,1.2128,1.2161,1.2145
1981-02-20,1.2159,1.2193,1.2176
1981-02-23,1.2191,1.2225,1.2208
1981-02-24,1.2086,1.212,1.2103
1981-02-25,1.2103,1.2137,1.212
1981-02-26,1.206,1.2093,1.2077
1981-02-27,1.2047,1.208,1.2064
1981-03-02,1.2011,1.2044,1.2028
1981-03-03,1.2082,1.2115,1.2099
1981-03-04,1.2103,1.2136,1.212
1981-03-05,1.2124,1.2157,1.2141
1981-03-06,1.205,1.2083,1.2067
1981-03-09,1.2103,1.2136,1.212
1981-03-10,1.2129,1.2162,1.2146
1981-03-11,1.2125,1.2159,1.2142
1981-03-12,1.2107,1.214,1.2124
1981-03-13,1.2125,1.2158,1.2142
1981-03-16,1.211,1.2143,1.2127
1981-03-17,1.2131,1.2165,1.2148
1981-03-18,1.2135,1.2169,1.2152
1981-03-19,1.2129,1.2163,1.2146
1981-03-20,1.2101,1.2134,1.2118
1981-03-23,1.2102,1.2136,1.2119
1981-03-24,1.2071,1.2104,1.2088
1981-03-25,1.2079,1.2112,1.2096
1981-03-26,1.2065,1.2098,1.2082
1981-03-27,1.2064,1.2098,1.2081
1981-03-30,1.2105,1.2138,1.2122
1981-03-31,1.2138,1.2171,1.2155
1981-04-01,1.2116,1.215,1.2133
1981-04-02,1.2131,1.2165,1.2148
1981-04-03,1.2115,1.2148,1.2132
1981-04-06,1.2187,1.222,1.2204
1981-04-07,1.2171,1.2204,1.2188
1981-04-08,1.2123,1.2156,1.214
1981-04-09,1.2108,1.2141,1.2125
1981-04-10,1.2105,1.2138,1.2122
1981-04-13,1.2107,1.214,1.2124
1981-04-14,1.2109,1.2142,1.2126
1981-04-15,1.2157,1.219,1.2174
1981-04-21,1.2152,1.2185,1.2169
1981-04-22,1.2127,1.216,1.2144
1981-04-24,1.2133,1.2166,1.215
1981-04-27,1.2086,1.2118,1.2102
1981-04-28,1.2085,1.2118,1.2102
1981-04-29,1.2107,1.2139,1.2123
1981-04-30,1.2087,1.212,1.2104
1981-05-04,1.2054,1.2087,1.2071
1981-05-05,1.2086,1.2118,1.2102
1981-05-06,1.2123,1.2155,1.2139
1981-05-07,1.2141,1.2174,1.2158
1981-05-08,1.2082,1.2115,1.2099
1981-05-11,1.2089,1.2121,1.2105
1981-05-12,1.2078,1.211,1.2094
1981-05-13,1.2069,1.21,1.2085
1981-05-14,1.2072,1.2104,1.2088
1981-05-15,1.2071,1.2103,1.2087
1981-05-18,1.2048,1.2079,1.2064
1981-05-19,1.2047,1.2079,1.2063
1981-05-20,1.2052,1.2084,1.2068
1981-05-21,1.2083,1.2114,1.2099
1981-05-22,1.2027,1.2059,1.2043
1981-05-25,1.2014,1.2046,1.203
1981-05-26,1.2007,1.2039,1.2023
1981-05-27,1.201,1.2041,1.2026
1981-05-29,1.2503,1.2538,1.2521
1981-06-01,1.2485,1.2519,1.2502
1981-06-02,1.242,1.2454,1.2437
1981-06-03,1.244,1.2474,1.2457
1981-06-04,1.2456,1.249,1.2473
