date,buy,sell,mean
2020-03-31,,,34.126
2020-04-01,,,34.14
2020-04-02,,,33.956
2020-04-03,,,33.954
2020-04-06,,,34.088
2020-04-07,,,34.227
2020-04-08,,,34.38
2020-04-14,,,34.251
2020-04-15,,,34.388
2020-04-16,,,34.501
2020-04-17,,,34.576
2020-04-20,,,34.62
2020-04-21,,,34.697
2020-04-22,,,34.867
2020-04-24,,,35.004
2020-04-27,,,35.084
2020-04-28,,,35.073
2020-04-29,,,35.097
2020-04-30,,,35.11
2020-05-04,,,34.968
2020-05-05,,,35.131
2020-05-06,,,35.086
2020-05-07,,,35.009
2020-05-08,,,34.813
2020-05-11,,,34.8
2020-05-12,,,34.863
2020-05-13,,,34.697
2020-05-14,,,34.653
2020-05-15,,,34.708
2020-05-18,,,34.471
2020-05-19,,,34.362
2020-05-20,,,34.422
2020-05-22,,,34.576
2020-05-25,,,34.539
2020-05-26,,,34.615
2020-05-27,,,34.118
2020-05-28,,,34.086
2020-05-29,,,33.891
2020-06-02,,,34.375
2020-06-03,,,34.283
2020-06-04,,,33.418
2020-06-05,,,33.414
2020-06-08,,,33.657
2020-06-09,,,33.698
2020-06-10,,,33.728
2020-06-11,,,33.965
2020-06-12,,,34.151
2020-06-15,,,34.219
2020-06-16,,,34.478
2020-06-18,,,34.293
2020-06-19,,,34.553
2020-06-22,,,34.773
2020-06-23,,,35.332
2020-06-24,,,35.308
2020-06-25,,,35.169
2020-06-26,,,34.73
2020-06-29,,,34.789
2020-06-30,,,34.834
2020-07-01,,,34.913
2020-07-02,,,34.967
2020-07-03,,,34.979
2020-07-06,,,35.157
2020-07-07,,,35.117
2020-07-08,,,35.118
2020-07-09,,,35.532
2020-07-10,,,35.535
2020-07-13,,,35.565
2020-07-14,,,35.561
2020-07-15,,,35.79
2020-07-16,,,35.637
2020-07-17,,,35.741
2020-07-20,,,35.89
2020-07-21,,,35.954
2020-07-22,,,35.579
2020-07-23,,,35.729
2020-07-24,,,35.796
2020-07-27,,,35.941
2020-07-28,,,36.0
2020-07-29,,,35.931
2020-07-30,,,36.053
2020-07-31,,,36.282
2020-08-04,,,36.31
2020-08-05,,,36.418
2020-08-06,,,36.326
2020-08-07,,,36.39
2020-08-10,,,36.507
2020-08-11,,,36.584
2020-08-12,,,36.579
2020-08-13,,,36.624
2020-08-14,,,36.642
2020-08-17,,,36.784
2020-08-18,,,36.735
2020-08-19,,,36.831
2020-08-20,,,36.954
2020-08-21,,,37.005
2020-08-24,,,36.963
2020-08-25,,,37.012
2020-08-26,,,37.075
2020-08-27,,,37.1
2020-08-28,,,37.203
2020-08-31,,,37.366
2020-09-01,,,37.451
2020-09-02,,,37.228
2020-09-03,,,37.161
2020-09-04,,,37.004
2020-09-07,,,37.053
2020-09-08,,,37.155
2020-09-09,,,37.261
2020-09-10,,,36.765
2020-09-11,,,36.387
2020-09-14,,,35.947
2020-09-15,,,36.125
2020-09-16,,,36.133
2020-09-17,,,36.385
2020-09-18,,,36.053
2020-09-21,,,36.039
