date,buy,sell,mean
2020-03-31,,,1.816
2020-04-01,,,1.813
2020-04-02,,,1.8122
2020-04-03,,,1.8715
2020-04-06,,,1.8839
2020-04-07,,,1.89
2020-04-08,,,1.8934
2020-04-14,,,1.9389
2020-04-15,,,1.9259
2020-04-16,,,1.9381
2020-04-17,,,1.9475
2020-04-20,,,1.9387
2020-04-21,,,1.8964
2020-04-22,,,1.9018
2020-04-24,,,1.9738
2020-04-27,,,1.9687
2020-04-28,,,1.9822
2020-04-29,,,1.9929
2020-04-30,,,1.9974
2020-05-04,,,1.9364
2020-05-05,,,1.9844
2020-05-06,,,1.9829
2020-05-07,,,1.994
2020-05-08,,,1.9859
2020-05-11,,,1.9835
2020-05-12,,,1.9981
2020-05-13,,,1.9881
2020-05-14,,,1.9837
2020-05-15,,,1.9898
2020-05-18,,,1.9954
2020-05-19,,,1.9737
2020-05-20,,,1.9936
2020-05-22,,,1.9979
2020-05-25,,,1.993
2020-05-26,,,1.9831
2020-05-27,,,1.9352
2020-05-28,,,1.9323
2020-05-29,,,1.919
2020-06-02,,,1.9706
2020-06-03,,,1.9622
2020-06-04,,,1.9199
2020-06-05,,,1.9109
2020-06-08,,,1.9413
2020-06-09,,,1.929
2020-06-10,,,1.923
2020-06-11,,,1.9333
2020-06-12,,,1.9267
2020-06-15,,,1.9196
2020-06-16,,,1.9398
2020-06-18,,,1.9597
2020-06-19,,,1.9784
2020-06-22,,,1.984
2020-06-23,,,2.0175
2020-06-24,,,2.0119
2020-06-25,,,2.0175
2020-06-26,,,1.9895
2020-06-29,,,1.97
2020-06-30,,,1.9547
2020-07-01,,,1.9545
2020-07-02,,,1.9678
2020-07-03,,,1.955
2020-07-06,,,1.9349
2020-07-07,,,1.9319
2020-07-08,,,1.9607
2020-07-09,,,1.9811
2020-07-10,,,1.9769
2020-07-13,,,1.9828
2020-07-14,,,1.9752
2020-07-15,,,1.9685
2020-07-16,,,1.9717
2020-07-17,,,1.956
2020-07-20,,,1.954
2020-07-21,,,1.9702
2020-07-22,,,1.9235
2020-07-23,,,1.9102
2020-07-24,,,1.9006
2020-07-27,,,1.8882
2020-07-28,,,1.8708
2020-07-29,,,1.8648
2020-07-30,,,1.8384
2020-07-31,,,1.8239
2020-08-04,,,1.8416
2020-08-05,,,1.849
2020-08-06,,,1.8408
2020-08-07,,,1.8452
2020-08-10,,,1.8542
2020-08-11,,,1.8749
2020-08-12,,,1.8726
2020-08-13,,,1.8525
2020-08-14,,,1.8597
2020-08-17,,,1.8542
2020-08-18,,,1.8549
2020-08-19,,,1.8472
2020-08-20,,,1.8589
2020-08-21,,,1.8516
2020-08-24,,,1.8522
2020-08-25,,,1.8416
2020-08-26,,,1.8216
2020-08-27,,,1.8377
2020-08-28,,,1.8481
2020-08-31,,,1.8608
2020-09-01,,,1.8669
2020-09-02,,,1.8676
2020-09-03,,,1.849
2020-09-04,,,1.8511
2020-09-07,,,1.8357
2020-09-08,,,1.8356
2020-09-09,,,1.8559
2020-09-10,,,1.8413
2020-09-11,,,1.8226
2020-09-14,,,1.7856
2020-09-15,,,1.803
2020-09-16,,,1.8082
2020-09-17,,,1.8305
2020-09-18,,,1.8038
2020-09-21,,,1.7961
2020-09-22,,,1.8175
2020-09-23,,,1.7977
2020-09-24,,,1.8001
