date,buy,sell,mean
2020-03-31,,,37.641
2020-04-01,,,37.902
2020-04-02,,,37.718
2020-04-03,,,38.274
2020-04-06,,,38.255
2020-04-07,,,37.949
2020-04-08,,,38.1
2020-04-14,,,37.897
2020-04-15,,,38.069
2020-04-16,,,38.224
2020-04-17,,,38.474
2020-04-20,,,38.443
2020-04-21,,,38.644
2020-04-22,,,38.621
2020-04-24,,,39.08
2020-04-27,,,38.838
2020-04-28,,,38.956
2020-04-29,,,39.112
2020-04-30,,,38.992
2020-05-04,,,38.808
2020-05-05,,,39.163
2020-05-06,,,39.279
2020-05-07,,,39.274
2020-05-08,,,38.922
2020-05-11,,,38.994
2020-05-12,,,39.029
2020-05-13,,,38.816
2020-05-14,,,39.031
2020-05-15,,,38.988
2020-05-18,,,38.726
2020-05-19,,,38.0
2020-05-20,,,38.085
2020-05-22,,,38.172
2020-05-25,,,37.956
2020-05-26,,,37.496
2020-05-27,,,36.531
2020-05-28,,,36.5
2020-05-29,,,36.063
2020-06-02,,,36.017
2020-06-03,,,35.877
2020-06-04,,,35.379
2020-06-05,,,35.016
2020-06-08,,,35.292
2020-06-09,,,35.395
2020-06-10,,,35.241
2020-06-11,,,35.539
2020-06-12,,,35.835
2020-06-15,,,35.988
2020-06-16,,,35.981
2020-06-18,,,36.232
2020-06-19,,,36.65
2020-06-22,,,36.736
2020-06-23,,,37.024
2020-06-24,,,37.064
2020-06-25,,,37.292
2020-06-26,,,36.773
2020-06-29,,,36.72
2020-06-30,,,36.944
2020-07-01,,,37.025
2020-07-02,,,36.897
2020-07-03,,,37.108
2020-07-06,,,37.117
2020-07-07,,,37.111
2020-07-08,,,37.16
2020-07-09,,,37.362
2020-07-10,,,37.521
2020-07-13,,,37.475
2020-07-14,,,37.435
2020-07-15,,,37.301
2020-07-16,,,37.44
2020-07-17,,,37.4
2020-07-20,,,37.279
2020-07-21,,,37.162
2020-07-22,,,36.36
2020-07-23,,,36.315
2020-07-24,,,36.311
2020-07-27,,,35.971
2020-07-28,,,36.039
2020-07-29,,,36.056
2020-07-30,,,36.09
2020-07-31,,,35.937
2020-08-04,,,36.225
2020-08-05,,,36.014
2020-08-06,,,36.051
2020-08-07,,,36.182
2020-08-10,,,36.431
2020-08-11,,,36.403
2020-08-12,,,36.495
2020-08-13,,,36.252
2020-08-14,,,36.385
2020-08-17,,,36.339
2020-08-18,,,36.109
2020-08-19,,,36.187
2020-08-20,,,36.553
2020-08-21,,,36.773
2020-08-24,,,36.687
2020-08-25,,,36.67
2020-08-26,,,36.839
2020-08-27,,,36.915
2020-08-28,,,36.639
2020-08-31,,,36.692
2020-09-01,,,36.6
2020-09-02,,,36.971
2020-09-03,,,37.129
2020-09-04,,,37.079
2020-09-07,,,37.185
2020-09-08,,,37.391
2020-09-09,,,37.558
2020-09-10,,,36.833
2020-09-11,,,36.389
2020-09-14,,,35.921
2020-09-15,,,36.008
2020-09-16,,,36.064
2020-09-17,,,36.656
2020-09-18,,,36.229
2020-09-21,,,36.557
2020-09-22,,,36.801
2020-09-23,,,36.808
2020-09-24,,,37.043
2020-09-25,,,37.081
2020-09-28,,,37.099
2020-09-29,,,36.912
2020-09-30,,,36.935
2020-10-01,,,36.794
2020-10-02,,,36.866
2020-10-05,,,36.795
2020-10-06,,,36.784
2020-10-07,,,36.886
2020-10-08,,,36.89
2020-10-09,,,36.792
2020-10-12,,,36.868
2020-10-13,,,36.913
2020-10-14,,,37.027
2020-10-15,,,37.198
2020-10-16,,,37.064
2020-10-19,,,36.968
2020-10-20,,,37.031
2020-10-21,,,37.014
2020-10-22,,,37.128
2020-10-23,,,37.08
2020-10-26,,,37.291
2020-10-27,,,37.248
2020-10-28,,,37.523
2020-10-29,,,37.636
2020-10-30,,,37.48
2020-11-02,,,37.421
2020-11-03,,,37.496
2020-11-04,,,37.269
2020-11-05,,,36.902
2020-11-06,,,36.728
2020-11-09,,,36.615
2020-11-10,,,36.652
2020-11-11,,,36.904
2020-11-12,,,36.652
2020-11-13,,,36.539
2020-11-16,,,36.355
2020-11-17,,,36.227
2020-11-18,,,36.286
2020-11-19,,,36.346
2020-11-20,,,36.252
2020-11-23,,,36.09
2020-11-24,,,36.157
2020-11-25,,,36.083
2020-11-26,,,36.142
2020-11-27,,,35.545
2020-11-30,,,35.382
2020-12-01,,,35.242
2020-12-02,,,34.337
2020-12-03,,,33.561
2020-12-04,,,33.35
2020-12-07,,,33.563
2020-12-08,,,33.648
2020-12-09,,,33.79
2020-12-10,,,33.949
2020-12-11,,,34.032
2020-12-14,,,33.981
2020-12-15,,,33.998
2020-12-16,,,33.943
2020-12-17,,,33.822
2020-12-18,,,34.0
2020-12-21,,,34.288
2020-12-22,,,33.992
2020-12-23,,,34.155
2020-12-28,,,34.052
2020-12-29,,,33.973
2020-12-30,,,33.863
2020-12-31,,,33.903
2021-01-04,,,33.867
2021-01-05,,,33.906
2021-01-06,,,33.77
2021-01-07,,,33.729
2021-01-08,,,33.836
2021-01-11,,,34.424
2021-01-12,,,34.236
2021-01-13,,,34.169
2021-01-14,,,34.43
2021-01-15,,,34.39
2021-01-18,,,34.65
2021-01-19,,,34.495
2021-01-20,,,34.631
2021-01-21,,,34.377
2021-01-22,,,34.425
2021-01-25,,,34.445
2021-01-26,,,34.47
2021-01-27,,,34.547
2021-01-28,,,34.385
2021-01-29,,,34.297
2021-02-01,,,34.481
2021-02-02,,,34.566
2021-02-03,,,34.633
2021-02-04,,,34.693
2021-02-05,,,34.463
2021-02-08,,,34.297
2021-02-09,,,33.943
2021-02-10,,,34.122
2021-02-11,,,34.2
2021-02-12,,,34.32
2021-02-15,,,34.197
2021-02-16,,,34.166
2021-02-17,,,34.45
2021-02-18,,,34.375
2021-02-19,,,34.178
2021-02-22,,,34.191
2021-02-23,,,34.078
2021-02-24,,,33.948
2021-02-25,,,33.426
2021-02-26,,,33.637
2021-03-01,,,34.046
2021-03-02,,,33.712
2021-03-03,,,33.732
2021-03-04,,,33.956
2021-03-05,,,34.146
2021-03-08,,,34.297
2021-03-09,,,34.005
2021-03-10,,,34.096
2021-03-11,,,34.15
2021-03-12,,,34.383
2021-03-15,,,34.334
2021-03-16,,,33.895
2021-03-17,,,33.9
2021-03-18,,,33.928
2021-03-19,,,33.943
2021-03-22,,,33.785
2021-03-23,,,33.272
2021-03-24,,,33.853
2021-03-25,,,33.843
2021-03-26,,,33.904
2021-03-29,,,34.167
2021-03-30,,,33.718
2021-03-31,,,33.675
2021-04-06,,,33.746
2021-04-07,,,33.748
2021-04-08,,,33.908
2021-04-09,,,34.074
2021-04-12,,,34.02
2021-04-13,,,34.051
2021-04-14,,,33.814
2021-04-15,,,33.838
2021-04-16,,,33.792
2021-04-19,,,33.609
2021-04-20,,,33.616
2021-04-21,,,33.444
2021-04-23,,,33.41
2021-04-26,,,33.317
2021-04-27,,,33.09
2021-04-28,,,32.872
2021-04-29,,,32.625
2021-04-30,,,33.018
2021-05-03,,,33.432
2021-05-04,,,33.007
2021-05-05,,,33.493
2021-05-06,,,33.369
2021-05-07,,,33.277
2021-05-10,,,33.059
2021-05-11,,,33.063
2021-05-12,,,33.162
2021-05-14,,,33.186
2021-05-17,,,33.176
2021-05-18,,,32.794
2021-05-19,,,32.686
2021-05-20,,,32.627
2021-05-21,,,32.355
2021-05-25,,,32.272
2021-05-26,,,32.338
2021-05-27,,,32.069
2021-05-28,,,32.177
2021-05-31,,,32.258
2021-06-01,,,32.175
2021-06-02,,,31.968
2021-06-03,,,32.031
2021-06-04,,,32.369
2021-06-07,,,32.165
2021-06-08,,,32.156
2021-06-09,,,32.12
2021-06-10,,,32.161
2021-06-11,,,32.375
2021-06-14,,,32.402
2021-06-15,,,32.416
2021-06-16,,,32.323
2021-06-18,,,32.806
2021-06-21,,,32.971
2021-06-22,,,32.861
2021-06-23,,,32.666
2021-06-24,,,32.652
2021-06-25,,,32.821
2021-06-28,,,32.982
2021-06-29,,,33.037
2021-06-30,,,32.863
2021-07-01,,,32.916
2021-07-02,,,33.221
2021-07-05,,,33.059
2021-07-06,,,33.132
2021-07-07,,,32.968
2021-07-08,,,32.95
2021-07-09,,,32.888
2021-07-12,,,32.911
2021-07-13,,,32.981
2021-07-14,,,33.026
2021-07-15,,,32.983
2021-07-16,,,32.959
2021-07-19,,,33.106
2021-07-20,,,33.26
2021-07-21,,,33.516
2021-07-22,,,33.553
2021-07-23,,,33.751
2021-07-26,,,33.613
2021-07-27,,,33.635
2021-07-28,,,33.51
2021-07-29,,,33.033
2021-07-30,,,32.875
2021-08-03,,,32.896
2021-08-04,,,33.154
2021-08-05,,,33.307
2021-08-06,,,33.379
2021-08-09,,,33.511
2021-08-10,,,33.712
2021-08-11,,,33.68
2021-08-12,,,33.615
2021-08-13,,,33.544
2021-08-16,,,33.569
2021-08-17,,,33.627
2021-08-18,,,33.756
2021-08-19,,,33.921
2021-08-20,,,34.133
2021-08-23,,,34.17
