date,buy,sell,mean
1981-01-01,1.4224,1.4265,1.4245
1981-01-05,1.424,1.4281,1.4261
1981-01-06,1.443,1.4471,1.4451
1981-01-07,1.434,1.4381,1.4361
1981-01-08,1.4237,1.4278,1.4258
1981-01-09,1.4202,1.4243,1.4223
1981-01-12,1.4185,1.4226,1.4206
1981-01-13,1.4043,1.4083,1.4063
1981-01-14,1.4074,1.4115,1.4095
1981-01-15,1.4046,1.4086,1.4066
1981-01-16,1.3943,1.3983,1.3963
1981-01-19,1.4021,1.4061,1.4041
1981-01-20,1.4057,1.4098,1.4078
1981-01-21,1.4093,1.4134,1.4114
1981-01-22,1.3998,1.4039,1.4019
1981-01-23,1.3907,1.3947,1.3927
1981-01-26,1.3841,1.3881,1.3861
1981-01-27,1.3773,1.3813,1.3793
1981-01-28,1.368,1.372,1.37
1981-01-29,1.3715,1.3755,1.3735
1981-01-30,1.3612,1.3651,1.3632
1981-02-02,1.3689,1.3729,1.3709
1981-02-03,1.3572,1.3611,1.3592
1981-02-04,1.3629,1.3669,1.3649
1981-02-05,1.3659,1.3699,1.3679
1981-02-06,1.3555,1.3594,1.3575
1981-02-09,1.3576,1.3615,1.3596
1981-02-10,1.41,1.4139,1.412
1981-02-11,1.4085,1.4124,1.4105
1981-02-12,1.4091,1.413,1.4111
1981-02-13,1.4094,1.4133,1.4114
1981-02-16,1.4043,1.4081,1.4062
1981-02-17,1.4042,1.408,1.4061
1981-02-18,1.4118,1.4157,1.4138
1981-02-19,1.4144,1.4183,1.4164
1981-02-20,1.425,1.429,1.427
1981-02-23,1.4213,1.4252,1.4233
1981-02-24,1.4154,1.4193,1.4174
1981-02-25,1.4146,1.4185,1.4166
1981-02-26,1.4118,1.4157,1.4138
1981-02-27,1.4146,1.4184,1.4165
1981-03-02,1.4152,1.4191,1.4172
1981-03-03,1.4126,1.4164,1.4145
1981-03-04,1.4166,1.4205,1.4186
1981-03-05,1.4171,1.421,1.4191
1981-03-06,1.4138,1.4176,1.4157
1981-03-09,1.4112,1.4151,1.4132
1981-03-10,1.4142,1.4181,1.4162
1981-03-11,1.4159,1.4198,1.4179
1981-03-12,1.4169,1.4208,1.4189
1981-03-13,1.4151,1.419,1.4171
1981-03-16,1.4162,1.4201,1.4182
1981-03-17,1.4198,1.4238,1.4218
1981-03-18,1.4229,1.4269,1.4249
1981-03-19,1.4222,1.4262,1.4242
1981-03-20,1.421,1.4249,1.423
1981-03-23,1.4174,1.4214,1.4194
1981-03-24,1.4188,1.4227,1.4208
1981-03-25,1.419,1.4229,1.421
1981-03-26,1.4182,1.4221,1.4202
1981-03-27,1.4159,1.4197,1.4178
1981-03-30,1.4157,1.4195,1.4176
1981-03-31,1.4193,1.4232,1.4213
1981-04-01,1.4203,1.4242,1.4223
1981-04-02,1.4215,1.4254,1.4235
1981-04-03,1.4179,1.4217,1.4198
1981-04-06,1.4173,1.4211,1.4192
1981-04-07,1.4169,1.4207,1.4188
1981-04-08,1.4141,1.418,1.4161
1981-04-09,1.4157,1.4196,1.4177
1981-04-10,1.4164,1.4203,1.4184
1981-04-13,1.4119,1.4157,1.4138
1981-04-14,1.4137,1.4176,1.4157
1981-04-15,1.4131,1.4169,1.415
1981-04-21,1.4115,1.4153,1.4134
