date,buy,sell,mean
1981-01-01,6.23,6.248,6.239
1981-01-05,6.23,6.248,6.239
1981-01-06,6.23,6.248,6.239
1981-01-07,6.23,6.248,6.239
1981-01-08,6.23,6.248,6.239
1981-01-09,6.23,6.248,6.239
1981-01-12,6.23,6.248,6.239
1981-01-13,6.23,6.248,6.239
1981-01-14,6.23,6.248,6.239
1981-01-15,6.23,6.248,6.239
1981-01-16,6.23,6.248,6.239
1981-01-19,6.23,6.248,6.239
1981-01-20,6.23,6.248,6.239
1981-01-21,6.23,6.248,6.239
1981-01-22,6.23,6.248,6.239
1981-01-23,6.23,6.248,6.239
1981-01-26,6.23,6.248,6.239
1981-01-27,6.23,6.248,6.239
1981-01-28,6.23,6.248,6.239
1981-01-29,6.23,6.248,6.239
1981-01-30,6.23,6.248,6.239
1981-02-02,6.23,6.248,6.239
1981-02-03,6.23,6.248,6.239
1981-02-04,6.23,6.248,6.239
1981-02-05,6.23,6.248,6.239
1981-02-06,6.23,6.248,6.239
1981-02-09,6.23,6.248,6.239
1981-02-10,6.46,6.478,6.469
1981-02-11,6.474,6.492,6.483
1981-02-12,6.507,6.525,6.516
1981-02-13,6.547,6.565,6.556
1981-02-16,6.636,6.654,6.645
1981-02-17,6.568,6.586,6.577
1981-02-18,6.534,6.552,6.543
1981-02-19,6.534,6.552,6.543
1981-02-20,6.441,6.459,6.45
1981-02-23,6.48,6.498,6.489
1981-02-24,6.497,6.515,6.506
1981-02-25,6.511,6.529,6.52
1981-02-26,6.537,6.555,6.546
1981-02-27,6.565,6.583,6.574
1981-03-02,6.609,6.627,6.618
1981-03-03,6.625,6.643,6.634
1981-03-04,6.546,6.564,6.555
1981-03-05,6.567,6.585,6.576
1981-03-06,6.598,6.616,6.607
1981-03-09,6.582,6.6,6.591
1981-03-10,6.538,6.556,6.547
1981-03-11,6.533,6.551,6.542
1981-03-12,6.539,6.557,6.548
1981-03-13,6.539,6.557,6.548
1981-03-16,6.521,6.539,6.53
1981-03-17,6.48,6.498,6.489
1981-03-18,6.45,6.468,6.459
1981-03-19,6.429,6.447,6.438
1981-03-20,6.463,6.481,6.472
1981-03-23,6.499,6.517,6.508
1981-03-24,6.496,6.514,6.505
1981-03-25,6.488,6.506,6.497
1981-03-26,6.504,6.522,6.513
1981-03-27,6.554,6.572,6.563
1981-03-30,6.545,6.563,6.554
1981-03-31,6.518,6.536,6.527
1981-04-01,6.515,6.533,6.524
1981-04-02,6.518,6.536,6.527
1981-04-03,6.57,6.588,6.579
1981-04-06,6.614,6.632,6.623
1981-04-07,6.609,6.627,6.618
1981-04-08,6.568,6.586,6.577
1981-04-09,6.593,6.611,6.602
1981-04-10,6.605,6.623,6.614
1981-04-13,6.657,6.675,6.666
1981-04-14,6.636,6.654,6.645
1981-04-15,6.65,6.668,6.659
1981-04-21,6.669,6.687,6.678
1981-04-22,6.653,6.671,6.662
1981-04-24,6.658,6.676,6.667
1981-04-27,6.652,6.67,6.661
1981-04-28,6.671,6.689,6.68
1981-04-29,6.701,6.719,6.71
1981-04-30,6.714,6.732,6.723
1981-05-04,6.76,6.778,6.769
1981-05-05,6.796,6.814,6.805
1981-05-06,6.778,6.796,6.787
1981-05-07,6.787,6.805,6.796
1981-05-08,6.774,6.792,6.783
1981-05-11,6.8,6.818,6.809
1981-05-12,6.826,6.844,6.835
1981-05-13,6.826,6.844,6.835
1981-05-14,6.868,6.886,6.877
1981-05-15,6.848,6.866,6.857
1981-05-18,6.831,6.849,6.84
1981-05-19,6.832,6.85,6.841
1981-05-20,6.831,6.849,6.84
1981-05-21,6.849,6.867,6.858
1981-05-22,6.87,6.888,6.879
1981-05-25,6.86,6.878,6.869
1981-05-26,6.891,6.909,6.9
1981-05-27,6.907,6.925,6.916
1981-05-29,7.153,7.173,7.163
1981-06-01,7.163,7.183,7.173
1981-06-02,7.222,7.242,7.232
1981-06-03,7.238,7.258,7.248
1981-06-04,7.316,7.336,7.326
1981-06-05,7.382,7.402,7.392
1981-06-09,7.322,7.342,7.332
1981-06-10,7.29,7.31,7.3
1981-06-11,7.336,7.356,7.346
1981-06-12,7.331,7.351,7.341
1981-06-15,7.269,7.289,7.279
1981-06-16,7.223,7.243,7.233
1981-06-18,7.263,7.283,7.273
1981-06-19,7.3052,7.325,7.3151
1981-06-22,7.267,7.287,7.277
1981-06-23,7.244,7.264,7.254
1981-06-24,7.267,7.287,7.277
1981-06-25,7.292,7.312,7.302
1981-06-26,7.335,7.355,7.345
1981-06-29,7.306,7.326,7.316
1981-06-30,7.327,7.347,7.337
1981-07-01,7.373,7.393,7.383
1981-07-02,7.403,7.423,7.413
1981-07-03,7.388,7.408,7.398
1981-07-06,7.436,7.456,7.446
1981-07-07,7.409,7.429,7.419
1981-07-08,7.445,7.465,7.455
1981-07-09,7.449,7.469,7.459
1981-07-10,7.424,7.444,7.434
1981-07-13,7.399,7.419,7.409
1981-07-14,7.459,7.479,7.469
1981-07-15,7.422,7.442,7.432
1981-07-16,7.405,7.425,7.415
1981-07-17,7.423,7.443,7.433
1981-07-20,7.447,7.467,7.457
1981-07-21,7.476,7.496,7.486
1981-07-22,7.466,7.486,7.476
1981-07-23,7.456,7.476,7.466
1981-07-24,7.465,7.485,7.475
1981-07-27,7.433,7.453,7.443
1981-07-28,7.465,7.485,7.475
1981-07-29,7.464,7.484,7.474
1981-07-30,7.5,7.52,7.51
1981-07-31,7.489,7.509,7.499
1981-08-04,7.581,7.601,7.591
1981-08-05,7.573,7.593,7.583
1981-08-06,7.581,7.601,7.591
1981-08-07,7.614,7.634,7.624
1981-08-10,7.675,7.695,7.685
1981-08-11,7.661,7.681,7.671
1981-08-12,7.62,7.64,7.63
1981-08-13,7.598,7.618,7.608
1981-08-14,7.585,7.605,7.595
1981-08-17,7.595,7.615,7.605
1981-08-18,7.497,7.517,7.507
1981-08-19,7.528,7.548,7.538
1981-08-20,7.501,7.521,7.511
1981-08-21,7.473,7.493,7.483
1981-08-24,7.451,7.471,7.461
1981-08-25,7.54,7.56,7.55
1981-08-26,7.903,7.923,7.913
1981-08-27,7.878,7.898,7.888
1981-08-28,7.876,7.896,7.886
1981-08-31,7.815,7.835,7.825
1981-09-01,7.859,7.881,7.87
1981-09-02,7.834,7.856,7.845
1981-09-03,7.816,7.838,7.827
1981-09-04,7.81,7.832,7.821
1981-09-07,7.843,7.865,7.854
1981-09-08,7.863,7.885,7.874
1981-09-09,7.876,7.898,7.887
1981-09-10,7.848,7.87,7.859
1981-09-11,7.834,7.856,7.845
1981-09-14,7.843,7.865,7.854
1981-09-15,7.799,7.821,7.81
1981-09-16,7.752,7.774,7.763
1981-09-17,7.706,7.728,7.717
1981-09-18,7.72,7.742,7.731
1981-09-21,7.629,7.651,7.64
1981-09-22,7.667,7.689,7.678
1981-09-23,7.694,7.716,7.705
1981-09-24,7.775,7.797,7.786
1981-09-25,7.755,7.777,7.766
1981-09-28,7.838,7.86,7.849
1981-09-29,7.744,7.766,7.755
1981-09-30,7.772,7.794,7.783
1981-10-01,7.764,7.786,7.775
1981-10-02,7.741,7.763,7.752
1981-10-05,7.687,7.709,7.698
1981-10-06,7.636,7.658,7.647
1981-10-07,7.658,7.68,7.669
1981-10-08,7.648,7.67,7.659
1981-10-09,7.572,7.594,7.583
1981-10-12,7.525,7.547,7.536
1981-10-13,7.617,7.639,7.628
1981-10-14,7.663,7.685,7.674
1981-10-15,7.617,7.639,7.628
1981-10-16,7.675,7.697,7.686
1981-10-19,7.679,7.701,7.69
1981-10-20,7.662,7.684,7.673
1981-10-21,7.709,7.731,7.72
1981-10-22,7.74,7.762,7.751
1981-10-23,7.736,7.758,7.747
1981-10-26,7.786,7.808,7.797
1981-10-27,7.801,7.823,7.812
1981-10-28,7.77,7.792,7.781
1981-10-29,7.768,7.79,7.779
1981-10-30,7.694,7.716,7.705
1981-11-02,7.601,7.623,7.612
1981-11-03,7.649,7.671,7.66
1981-11-04,7.617,7.639,7.628
1981-11-05,7.615,7.637,7.626
1981-11-06,7.626,7.648,7.637
1981-11-09,7.572,7.594,7.583
1981-11-10,8.156,8.18,8.168
1981-11-11,8.168,8.192,8.18
1981-11-12,8.156,8.18,8.168
1981-11-13,8.156,8.18,8.168
1981-11-16,8.156,8.18,8.168
1981-11-17,8.156,8.18,8.168
1981-11-18,8.158,8.182,8.17
1981-11-19,8.156,8.18,8.168
1981-11-20,8.156,8.18,8.168
1981-11-23,8.178,8.202,8.19
1981-11-24,8.156,8.18,8.168
1981-11-25,8.156,8.18,8.168
1981-11-26,8.156,8.18,8.168
1981-11-27,8.156,8.18,8.168
1981-11-30,8.156,8.18,8.168
1981-12-01,8.156,8.18,8.168
1981-12-02,8.156,8.18,8.168
1981-12-03,8.156,8.18,8.168
1981-12-04,8.156,8.18,8.168
1981-12-07,8.156,8.18,8.168
1981-12-08,8.156,8.18,8.168
1981-12-09,8.156,8.18,8.168
1981-12-10,8.157,8.181,8.169
1981-12-11,8.18,8.204,8.192
1981-12-14,8.277,8.301,8.289
1981-12-15,8.216,8.24,8.228
1981-12-16,8.194,8.218,8.206
1981-12-17,8.196,8.22,8.208
1981-12-18,8.224,8.248,8.236
1981-12-21,8.231,8.255,8.243
1981-12-22,8.211,8.235,8.223
1981-12-23,8.21,8.234,8.222
1981-12-24,8.213,8.237,8.225
1981-12-28,8.214,8.238,8.226
1981-12-29,8.204,8.228,8.216
1981-12-30,8.193,8.217,8.205
1981-12-31,8.161,8.185,8.173
1982-01-14,9.413,9.439,9.426
1982-01-15,9.413,9.439,9.426
1982-01-18,9.442,9.468,9.455
1982-01-19,9.413,9.439,9.426
1982-01-20,9.413,9.439,9.426
1982-01-21,9.413,9.439,9.426
1982-01-22,9.413,9.439,9.426
1982-01-25,9.439,9.465,9.452
1982-01-26,9.47,9.496,9.483
1982-01-27,9.437,9.463,9.45
1982-01-28,9.456,9.482,9.469
1982-01-29,9.413,9.439,9.426
1982-02-01,9.451,9.477,9.464
1982-02-02,9.519,9.545,9.532
1982-02-03,9.519,9.545,9.532
1982-02-04,9.519,9.545,9.532
