date,buy,sell,mean
1981-01-01,7.9458,7.9687,7.9573
1981-01-05,7.923,7.9458,7.9344
1981-01-06,7.9684,7.9915,7.98
1981-01-07,8.0135,8.0367,8.0251
1981-01-08,7.9976,8.0207,8.0092
1981-01-09,7.9572,7.9802,7.9687
1981-01-12,7.9453,7.9682,7.9568
1981-01-13,7.9323,7.9552,7.9438
1981-01-14,7.8859,7.9087,7.8973
1981-01-15,7.9042,7.927,7.9156
1981-01-16,7.8981,7.9209,7.9095
1981-01-19,7.8808,7.9036,7.8922
1981-01-20,7.9117,7.9346,7.9232
1981-01-21,7.9051,7.9279,7.9165
1981-01-22,7.9469,7.9699,7.9584
1981-01-23,7.9069,7.9297,7.9183
1981-01-26,7.8744,7.8972,7.8858
1981-01-27,7.8463,7.869,7.8577
1981-01-28,7.8402,7.8629,7.8516
1981-01-29,7.8068,7.8294,7.8181
1981-01-30,7.792,7.8145,7.8033
1981-02-02,7.7512,7.7736,7.7624
1981-02-03,7.7595,7.7819,7.7707
1981-02-04,7.6934,7.7157,7.7046
1981-02-05,7.7273,7.7496,7.7385
1981-02-06,7.7505,7.7729,7.7617
1981-02-09,7.7152,7.7375,7.7264
1981-02-10,7.7178,7.7401,7.729
1981-02-11,7.9997,8.022,8.0109
1981-02-12,8.0034,8.0256,8.0145
1981-02-13,8.0106,8.0327,8.0217
1981-02-16,8.0159,8.038,8.027
1981-02-17,8.0287,8.0505,8.0396
1981-02-18,8.027,8.049,8.038
1981-02-19,8.0131,8.0352,8.0242
1981-02-20,8.0114,8.0334,8.0224
1981-02-23,7.9868,8.0091,7.998
1981-02-24,7.9911,8.0133,8.0022
1981-02-25,8.0145,8.0367,8.0256
1981-02-26,8.0181,8.0402,8.0292
1981-02-27,8.025,8.0471,8.0361
1981-03-02,8.0309,8.0529,8.0419
1981-03-03,8.0351,8.0569,8.046
1981-03-04,8.0404,8.0623,8.0514
1981-03-05,8.026,8.0481,8.0371
1981-03-06,8.0301,8.0521,8.0411
1981-03-09,8.0396,8.0615,8.0506
1981-03-10,8.0409,8.0628,8.0519
1981-03-11,8.0298,8.0519,8.0409
1981-03-12,8.0225,8.0447,8.0336
1981-03-13,8.0265,8.0486,8.0376
1981-03-16,8.0249,8.047,8.036
1981-03-17,8.0289,8.0511,8.04
1981-03-18,8.0086,8.0308,8.0197
1981-03-19,8.0014,8.0237,8.0126
1981-03-20,7.9894,8.0118,8.0006
1981-03-23,7.9981,8.0203,8.0092
1981-03-24,8.0144,8.0366,8.0255
1981-03-25,8.011,8.0332,8.0221
1981-03-26,8.0077,8.0299,8.0188
1981-03-27,8.0041,8.0263,8.0152
1981-03-30,8.0138,8.0358,8.0248
1981-03-31,8.0121,8.0341,8.0231
1981-04-01,8.0075,8.0296,8.0186
1981-04-02,8.0042,8.0263,8.0153
1981-04-03,8.0026,8.0247,8.0137
1981-04-06,8.0147,8.0367,8.0257
1981-04-07,8.0246,8.0464,8.0355
1981-04-08,8.0281,8.05,8.0391
1981-04-09,8.0162,8.0382,8.0272
1981-04-10,8.0188,8.0407,8.0298
1981-04-13,8.0212,8.0431,8.0322
1981-04-14,8.0267,8.0484,8.0376
1981-04-15,8.024,8.0458,8.0349
1981-04-21,8.0053,8.027,8.0162
1981-04-22,8.0256,8.0472,8.0364
1981-04-24,8.0398,8.0615,8.0507
1981-04-27,8.0314,8.0531,8.0423
1981-04-28,8.0447,8.0665,8.0556
1981-04-29,8.045,8.0667,8.0559
1981-04-30,8.0478,8.0694,8.0586
1981-05-04,8.0473,8.0688,8.0581
1981-05-05,8.0457,8.0671,8.0564
1981-05-06,8.0563,8.0777,8.067
1981-05-07,8.035,8.0563,8.0457
1981-05-08,8.0584,8.0797,8.0691
1981-05-11,8.0565,8.0779,8.0672
1981-05-12,8.0495,8.0708,8.0602
1981-05-13,8.0525,8.0737,8.0631
1981-05-14,8.0487,8.0699,8.0593
1981-05-15,8.0485,8.0696,8.0591
1981-05-18,8.0446,8.0658,8.0552
1981-05-19,8.0423,8.0635,8.0529
1981-05-20,8.0453,8.0665,8.0559
1981-05-21,8.0463,8.0675,8.0569
1981-05-22,8.0417,8.0628,8.0523
1981-05-25,8.0492,8.0703,8.0598
1981-05-26,8.0375,8.0586,8.0481
1981-05-27,8.0551,8.0762,8.0657
1981-05-29,8.0689,8.09,8.0795
1981-06-01,8.3701,8.3935,8.3818
1981-06-02,8.3896,8.413,8.4013
1981-06-03,8.3988,8.4221,8.4105
1981-06-04,8.4108,8.434,8.4224
1981-06-05,8.4342,8.4573,8.4458
1981-06-09,8.4616,8.4845,8.4731
1981-06-10,8.4388,8.4618,8.4503
1981-06-11,8.4184,8.4415,8.43
1981-06-12,8.4386,8.4616,8.4501
1981-06-15,8.44,8.463,8.4515
1981-06-16,8.4306,8.4538,8.4422
1981-06-18,8.4198,8.4431,8.4315
1981-06-19,8.4283,8.4515,8.4399
1981-06-22,8.4303,8.4532,8.4418
1981-06-23,8.4197,8.4428,8.4313
1981-06-24,8.4152,8.4385,8.4269
1981-06-25,8.4139,8.4371,8.4255
1981-06-26,8.4183,8.4414,8.4299
1981-06-29,8.4322,8.4552,8.4437
1981-06-30,8.4253,8.4484,8.4369
1981-07-01,8.4305,8.4535,8.442
1981-07-02,8.4395,8.4624,8.451
1981-07-03,8.4581,8.4809,8.4695
1981-07-06,8.4495,8.4724,8.461
1981-07-07,8.455,8.4777,8.4664
1981-07-08,8.4482,8.471,8.4596
1981-07-09,8.4624,8.4852,8.4738
1981-07-10,8.4592,8.4819,8.4706
1981-07-13,8.4441,8.4669,8.4555
1981-07-14,8.4463,8.4692,8.4578
1981-07-15,8.4607,8.4833,8.472
1981-07-16,8.4487,8.4715,8.4601
1981-07-17,8.4455,8.4683,8.4569
1981-07-20,8.4484,8.4711,8.4598
1981-07-21,8.4497,8.4724,8.4611
1981-07-22,8.4504,8.473,8.4617
1981-07-23,8.4496,8.4723,8.461
1981-07-24,8.4472,8.4699,8.4586
1981-07-27,8.4506,8.4732,8.4619
1981-07-28,8.4416,8.4643,8.453
1981-07-29,8.4433,8.4659,8.4546
1981-07-30,8.4279,8.4505,8.4392
1981-07-31,8.4452,8.4677,8.4565
1981-08-04,8.3604,8.3827,8.3716
1981-08-05,8.4498,8.4721,8.461
1981-08-06,8.4591,8.4814,8.4703
1981-08-07,8.4676,8.4899,8.4788
1981-08-10,8.4789,8.5012,8.4901
1981-08-11,8.4901,8.5123,8.5012
1981-08-12,8.4944,8.5166,8.5055
1981-08-13,8.4967,8.519,8.5079
1981-08-14,8.5086,8.531,8.5198
1981-08-17,8.4976,8.5201,8.5089
1981-08-18,8.4949,8.5172,8.5061
1981-08-19,8.4865,8.5092,8.4979
1981-08-20,8.4855,8.508,8.4968
1981-08-21,8.4772,8.4998,8.4885
1981-08-24,8.4705,8.4932,8.4819
1981-08-25,8.4706,8.4933,8.482
1981-08-26,8.4809,8.5034,8.4922
1981-08-27,8.9043,8.9268,8.9156
1981-08-28,8.8984,8.921,8.9097
1981-08-31,8.8947,8.9173,8.906
1981-09-01,8.8521,8.8748,8.8635
1981-09-02,8.8836,8.9085,8.8961
1981-09-03,8.8863,8.9113,8.8988
1981-09-04,8.8826,8.9076,8.8951
1981-09-07,8.8731,8.8981,8.8856
1981-09-08,8.9106,8.9356,8.9231
1981-09-09,8.9096,8.9345,8.9221
1981-09-10,8.8958,8.9207,8.9083
1981-09-11,8.8814,8.9063,8.8939
1981-09-14,8.8836,8.9085,8.8961
1981-09-15,8.9189,8.9439,8.9314
1981-09-16,8.9275,8.9527,8.9401
1981-09-17,8.925,8.9503,8.9377
1981-09-18,8.9406,8.9661,8.9534
1981-09-21,8.9419,8.9674,8.9547
1981-09-22,8.8989,8.9245,8.9117
1981-09-23,8.8854,8.9109,8.8982
1981-09-24,8.9055,8.931,8.9183
1981-09-25,8.9164,8.9416,8.929
1981-09-28,8.8844,8.9096,8.897
1981-09-29,8.9268,8.9519,8.9394
1981-09-30,8.8841,8.9093,8.8967
1981-10-01,8.9162,8.9415,8.9289
1981-10-02,8.8929,8.9181,8.9055
1981-10-05,8.9213,8.9466,8.934
1981-10-06,8.883,8.9084,8.8957
1981-10-07,8.8587,8.8842,8.8715
1981-10-08,8.8962,8.9217,8.909
1981-10-09,8.8807,8.9063,8.8935
1981-10-12,8.8646,8.8904,8.8775
1981-10-13,8.8096,8.8354,8.8225
1981-10-14,8.8618,8.8874,8.8746
1981-10-15,8.8881,8.9137,8.9009
1981-10-16,8.8573,8.8829,8.8701
1981-10-19,8.8648,8.8902,8.8775
1981-10-20,8.8695,8.8949,8.8822
1981-10-21,8.8542,8.8796,8.8669
1981-10-22,8.8692,8.8945,8.8819
1981-10-23,8.8856,8.9109,8.8983
1981-10-26,8.8693,8.8945,8.8819
1981-10-27,8.8651,8.8901,8.8776
1981-10-28,8.8958,8.9209,8.9084
1981-10-29,8.8763,8.9015,8.8889
1981-10-30,8.8792,8.9044,8.8918
1981-11-02,8.8571,8.8824,8.8698
1981-11-03,8.8143,8.8398,8.8271
1981-11-04,8.8659,8.8914,8.8787
1981-11-05,8.8703,8.8959,8.8831
1981-11-06,8.8585,8.8841,8.8713
1981-11-09,8.8484,8.8739,8.8612
1981-11-10,8.8367,8.8624,8.8496
1981-11-11,9.4656,9.4934,9.4795
1981-11-12,9.4795,9.5073,9.4934
1981-11-13,9.5014,9.5294,9.5154
1981-11-16,9.5051,9.533,9.5191
1981-11-17,9.4857,9.5136,9.4997
1981-11-18,9.4871,9.5151,9.5011
1981-11-19,9.4814,9.5093,9.4954
1981-11-20,9.5439,9.572,9.558
1981-11-23,9.5154,9.5434,9.5294
1981-11-24,9.5167,9.5446,9.5307
1981-11-25,9.5319,9.56,9.546
1981-11-26,9.5556,9.5837,9.5697
1981-11-27,9.5556,9.5837,9.5697
1981-11-30,9.5749,9.6031,9.589
1981-12-01,9.63,9.6583,9.6442
1981-12-02,9.5945,9.6227,9.6086
1981-12-03,9.572,9.6002,9.5861
1981-12-04,9.5604,9.5886,9.5745
1981-12-07,9.583,9.6112,9.5971
1981-12-08,9.5719,9.6,9.586
1981-12-09,9.5316,9.5596,9.5456
1981-12-10,9.5221,9.5502,9.5362
1981-12-11,9.5032,9.5312,9.5172
1981-12-14,9.5074,9.5353,9.5214
1981-12-15,9.5556,9.5833,9.5695
1981-12-16,9.5152,9.543,9.5291
1981-12-17,9.5206,9.5485,9.5346
1981-12-18,9.5216,9.5495,9.5356
1981-12-21,9.5095,9.5372,9.5234
1981-12-22,9.5262,9.554,9.5401
1981-12-23,9.5247,9.5526,9.5387
1981-12-24,9.5236,9.5514,9.5375
1981-12-28,9.5112,9.539,9.5251
1981-12-29,9.5162,9.544,9.5301
1981-12-30,9.5118,9.5396,9.5257
1981-12-31,9.5181,9.546,9.5321
1982-01-14,9.4277,9.4554,9.4416
1982-01-15,10.8164,10.8463,10.8314
1982-01-18,10.8426,10.8725,10.8576
1982-01-19,10.8551,10.885,10.8701
1982-01-20,10.8673,10.8973,10.8823
1982-01-21,10.8336,10.8635,10.8486
1982-01-22,10.8259,10.8558,10.8409
1982-01-25,10.8171,10.8469,10.832
1982-01-26,10.774,10.8037,10.7889
1982-01-27,10.8004,10.83,10.8152
1982-01-28,10.8314,10.8613,10.8464
1982-01-29,10.8027,10.8324,10.8176
1982-02-01,10.8046,10.8345,10.8196
1982-02-02,10.78,10.8096,10.7948
1982-02-03,10.8064,10.8359,10.8212
1982-02-04,10.8414,10.8711,10.8563
1982-02-05,10.8279,10.8574,10.8427
1982-02-08,10.8507,10.8803,10.8655
1982-02-09,10.8257,10.8552,10.8405
1982-02-10,10.7906,10.82,10.8053
1982-02-11,10.8254,10.8572,10.8413
1982-02-12,10.8339,10.8657,10.8498
1982-02-15,10.8211,10.8527,10.8369
1982-02-16,10.8832,10.9148,10.899
1982-02-17,10.8414,10.8729,10.8572
1982-02-18,10.8713,10.9028,10.8871
1982-02-19,10.8909,10.9225,10.9067
1982-02-22,10.963,10.9948,10.9789
1982-02-23,10.9657,10.9975,10.9816
1982-02-24,11.0101,11.0418,11.026
1982-02-25,11.006,11.0377,11.0219
1982-02-26,10.9982,11.0298,11.014
1982-03-01,10.9962,11.0277,11.012
1982-03-02,11.0484,11.0799,11.0642
1982-03-03,11.0597,11.0913,11.0755
1982-03-04,11.0748,11.1065,11.0907
1982-03-05,11.0726,11.1042,11.0884
1982-03-08,11.1538,11.1856,11.1697
1982-03-09,11.1642,11.196,11.1801
1982-03-10,11.1795,11.2112,11.1954
1982-03-11,11.2043,11.2359,11.2201
1982-03-12,11.2024,11.234,11.2182
1982-03-15,11.2002,11.2317,11.216
1982-03-16,11.218,11.2496,11.2338
1982-03-17,11.2451,11.2766,11.2609
