date,buy,sell,mean
2020-03-31,,,7.946
2020-04-01,,,7.931
2020-04-02,,,7.73
2020-04-03,,,7.649
2020-04-06,,,7.623
2020-04-07,,,7.808
2020-04-08,,,7.867
2020-04-14,,,7.764
2020-04-15,,,7.635
2020-04-16,,,7.718
2020-04-17,,,7.698
2020-04-20,,,7.658
2020-04-21,,,7.636
2020-04-22,,,7.73
2020-04-24,,,7.788
2020-04-27,,,7.761
2020-04-28,,,7.883
2020-04-29,,,7.942
2020-04-30,,,8.092
2020-05-04,,,7.807
2020-05-05,,,8.009
2020-05-06,,,7.951
2020-05-07,,,7.917
2020-05-08,,,7.922
2020-05-11,,,7.956
2020-05-12,,,8.009
2020-05-13,,,7.928
2020-05-14,,,7.869
2020-05-15,,,7.922
2020-05-18,,,7.863
2020-05-19,,,7.836
2020-05-20,,,7.937
2020-05-22,,,8.092
2020-05-25,,,8.099
2020-05-26,,,8.077
2020-05-27,,,7.887
2020-05-28,,,7.846
2020-05-29,,,7.735
2020-06-02,,,7.846
2020-06-03,,,7.925
2020-06-04,,,7.832
2020-06-05,,,7.795
2020-06-08,,,7.873
2020-06-09,,,7.914
2020-06-10,,,7.966
2020-06-11,,,7.977
2020-06-12,,,7.859
2020-06-15,,,7.847
2020-06-16,,,7.907
2020-06-18,,,7.88
2020-06-19,,,7.901
2020-06-22,,,7.936
2020-06-23,,,8.032
2020-06-24,,,8.025
2020-06-25,,,8.022
2020-06-26,,,8.014
2020-06-29,,,8.001
2020-06-30,,,7.997
2020-07-01,,,8.057
2020-07-02,,,8.177
2020-07-03,,,8.176
2020-07-06,,,8.158
2020-07-07,,,8.123
2020-07-08,,,8.184
2020-07-09,,,8.312
2020-07-10,,,8.305
2020-07-13,,,8.385
2020-07-14,,,8.35
2020-07-15,,,8.428
2020-07-16,,,8.422
2020-07-17,,,8.416
2020-07-20,,,8.385
2020-07-21,,,8.448
2020-07-22,,,8.288
2020-07-23,,,8.218
2020-07-24,,,8.119
2020-07-27,,,8.207
2020-07-28,,,8.176
2020-07-29,,,8.212
2020-07-30,,,8.049
2020-07-31,,,7.971
2020-08-04,,,7.806
2020-08-05,,,7.838
2020-08-06,,,7.676
2020-08-07,,,7.731
2020-08-10,,,7.699
2020-08-11,,,7.773
2020-08-12,,,7.875
2020-08-13,,,7.813
2020-08-14,,,7.809
2020-08-17,,,7.826
2020-08-18,,,7.792
2020-08-19,,,7.869
2020-08-20,,,7.956
2020-08-21,,,7.986
2020-08-24,,,8.095
2020-08-25,,,8.181
2020-08-26,,,8.231
2020-08-27,,,8.162
2020-08-28,,,8.21
2020-08-31,,,8.231
2020-09-01,,,8.25
2020-09-02,,,8.266
2020-09-03,,,8.306
2020-09-04,,,8.396
2020-09-07,,,8.343
2020-09-08,,,8.263
2020-09-09,,,8.416
2020-09-10,,,8.241
2020-09-11,,,8.149
2020-09-14,,,8.085
2020-09-15,,,8.203
2020-09-16,,,8.291
2020-09-17,,,8.419
2020-09-18,,,8.398
2020-09-21,,,8.184
2020-09-22,,,8.273
2020-09-23,,,8.086
2020-09-24,,,8.145
2020-09-25,,,8.13
2020-09-28,,,8.164
2020-09-29,,,8.156
2020-09-30,,,8.232
2020-10-01,,,8.302
2020-10-02,,,8.366
2020-10-05,,,8.393
2020-10-06,,,8.378
2020-10-07,,,8.318
2020-10-08,,,8.35
2020-10-09,,,8.378
2020-10-12,,,8.378
2020-10-13,,,8.394
2020-10-14,,,8.417
2020-10-15,,,8.354
2020-10-16,,,8.417
2020-10-19,,,8.431
2020-10-20,,,8.401
2020-10-21,,,8.465
2020-10-22,,,8.54
2020-10-23,,,8.591
2020-10-26,,,8.606
2020-10-27,,,8.67
2020-10-28,,,8.581
2020-10-29,,,8.587
2020-10-30,,,8.635
2020-11-02,,,8.649
2020-11-03,,,8.64
2020-11-04,,,8.735
2020-11-05,,,8.762
2020-11-06,,,8.748
2020-11-09,,,8.996
2020-11-10,,,8.845
2020-11-11,,,8.844
2020-11-12,,,8.766
2020-11-13,,,8.797
2020-11-16,,,8.847
2020-11-17,,,8.826
2020-11-18,,,8.834
2020-11-19,,,8.809
2020-11-20,,,8.853
2020-11-23,,,8.829
2020-11-24,,,8.831
2020-11-25,,,8.865
2020-11-26,,,8.907
2020-11-27,,,8.704
2020-11-30,,,8.639
2020-12-01,,,8.63
2020-12-02,,,8.373
2020-12-03,,,8.25
2020-12-04,,,8.238
2020-12-07,,,8.288
2020-12-08,,,8.395
2020-12-09,,,8.492
2020-12-10,,,8.489
2020-12-11,,,8.435
2020-12-14,,,8.5
2020-12-15,,,8.533
2020-12-16,,,8.565
2020-12-17,,,8.64
2020-12-18,,,8.752
2020-12-21,,,8.657
2020-12-22,,,8.742
2020-12-23,,,8.765
2020-12-28,,,8.771
2020-12-29,,,8.701
2020-12-30,,,8.671
2020-12-31,,,8.668
2021-01-04,,,8.716
2021-01-05,,,8.473
2021-01-06,,,8.44
2021-01-07,,,8.257
2021-01-08,,,8.306
2021-01-11,,,8.351
2021-01-12,,,8.342
