date,price
2005-07-01,109.59
2005-08-01,112.32
2005-09-01,113.55
2005-10-01,109.86
2005-11-01,106.69
2005-12-01,107.47
2006-01-01,108.12
2006-02-01,108.35
2006-03-01,112.6
2006-04-01,118.53
2006-05-01,120.4
2006-06-01,120.65
2006-07-01,124.35
2006-08-01,124.13
2006-09-01,120.26
2006-10-01,117.97
2006-11-01,114.13
2006-12-01,113.09
2007-01-01,113.09
2007-02-01,112.62
2007-03-01,114.34
2007-04-01,117.33
2007-05-01,121.26
2007-06-01,124.09
2007-07-01,123.66
2007-08-01,124.43
2007-09-01,126.11
2007-10-01,127.48
2007-11-01,134.13
2007-12-01,136.0
2008-01-01,137.07
2008-02-01,141.63
2008-03-01,153.35
2008-04-01,160.0
2008-05-01,173.07
2008-06-01,186.94
2008-07-01,191.59
2008-08-01,183.08
2008-09-01,182.19
2008-10-01,184.51
2008-11-01,180.03
2008-12-01,167.28
2009-01-01,166.67
2009-02-01,162.61
2009-03-01,153.79
2009-04-01,157.26
2009-05-01,163.26
2009-06-01,176.58
2009-07-01,178.92
2009-08-01,182.5
2009-09-01,179.83
2009-10-01,182.28
2009-11-01,184.78
2009-12-01,183.42
2010-01-01,194.76
2010-02-01,198.15
2010-03-01,203.16
2010-04-01,207.75
2010-05-01,205.66
2010-06-01,192.88
2010-07-01,190.4
2010-08-01,191.68
2010-09-01,191.87
2010-10-01,195.46
2010-11-01,198.11
2010-12-01,206.38
2011-01-01,213.4
2011-02-01,219.14
2011-03-01,234.57
2011-04-01,241.38
2011-05-01,236.28
2011-06-01,231.28
2011-07-01,240.44
2011-08-01,235.37
2011-09-01,235.37
2011-10-01,236.26
2011-11-01,242.36
2011-12-01,242.72
2012-01-01,251.84
2012-02-01,257.08
2012-03-01,263.39
2012-04-01,263.66
2012-05-01,255.76
2012-06-01,246.91
2012-07-01,245.7
2012-08-01,252.37
2012-09-01,260.91
2012-10-01,261.19
2012-11-01,260.5
2012-12-01,256.34
2013-01-01,259.23
2013-02-01,264.62
2013-03-01,254.13
2013-04-01,241.75
2013-05-01,241.38
2013-06-01,242.8
2013-07-01,248.18
2013-08-01,247.65
2013-09-01,251.87
2013-10-01,250.3
2013-11-01,249.15
2013-12-01,245.27
2014-01-01,239.41
2014-02-01,241.42
2014-03-01,239.73
2014-04-01,238.61
2014-05-01,239.72
2014-06-01,239.06
2014-07-01,239.48
2014-08-01,237.68
2014-09-01,237.3
2014-10-01,233.59
2014-11-01,230.55
2014-12-01,215.64
2015-01-01,201.45
2015-02-01,205.42
2015-03-01,212.15
2015-04-01,211.65
2015-05-01,213.0
2015-06-01,213.09
2015-07-01,208.55
2015-08-01,194.93
2015-09-01,191.82
2015-10-01,192.05
2015-11-01,193.02
2015-12-01,182.44
2016-01-01,174.71
2016-02-01,171.09
2016-03-01,177.51
2016-04-01,181.27
2016-04-19,179.48
2016-04-25,181.56
2016-04-26,181.88
2016-05-12,182.45
2016-05-17,185.09
2016-05-18,184.92
2016-05-26,184.89
2016-05-27,185.69
2016-05-28,186.86
2016-05-30,187.08
2016-05-31,186.31
2016-06-02,186.29
2016-06-03,186.35
2016-06-05,187.36
2016-06-06,188.16
2016-06-20,187.01
2016-06-28,186.57
2016-06-29,186.5
2016-07-06,186.27
2016-07-11,185.94
2016-07-12,185.81
2016-07-13,185.43
2016-07-14,184.88
2016-07-21,184.89
2016-07-26,182.91
2016-07-28,182.9
2016-08-02,180.53
2016-08-12,180.5
