timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2017-05-19T08:00,1,169.9,169.9,169.9,169.9,164.9,164.9,164.9,164.9
2017-05-25T10:00,1,169.9,169.9,169.9,169.9,161.9,161.9,161.9,161.9
2017-06-12T14:00,1,166.9,166.9,166.9,166.9,158.9,158.9,158.9,158.9
2017-06-20T14:15,1,164.9,164.9,164.9,164.9,155.9,155.9,155.9,155.9
2017-08-10T15:15,1,167.9,167.9,167.9,167.9,158.9,158.9,158.9,158.9
2017-09-18T10:30,1,169.9,169.9,169.9,169.9,159.9,159.9,159.9,159.9
2017-10-09T21:00,1,171.9,171.9,171.9,171.9,163.9,163.9,163.9,163.9
2017-11-13T11:45,1,173.9,173.9,173.9,173.9,165.9,165.9,165.9,165.9
2017-11-16T13:45,1,176.9,176.9,176.9,176.9,167.9,167.9,167.9,167.9
2017-12-06T17:00,1,177.9,177.9,177.9,177.9,167.9,167.9,167.9,167.9
2017-12-06T20:15,1,177.9,177.9,177.9,177.9,168.8,168.8,168.8,168.8
2017-12-11T14:30,1,177.9,177.9,177.9,177.9,168.9,168.9,168.9,168.9
2017-12-19T16:15,1,180.9,180.9,180.9,180.9,171.9,171.9,171.9,171.9
2018-01-03T16:30,1,186.9,186.9,186.9,186.9,177.9,177.9,177.9,177.9
2018-01-30T14:00,1,188.9,188.9,188.9,188.9,179.9,179.9,179.9,179.9
2018-02-07T08:15,1,189.9,189.9,189.9,189.9,180.9,180.9,180.9,180.9
2018-03-15T20:00,1,188.9,188.9,188.9,188.9,180.9,180.9,180.9,180.9
2018-03-21T01:00,1,183.9,183.9,183.9,183.9,175.9,175.9,175.9,175.9
2018-03-29T22:45,1,184.9,184.9,184.9,184.9,176.9,176.9,176.9,176.9
2018-04-06T17:15,1,184.9,184.9,184.9,184.9,178.9,178.9,178.9,178.9
2018-04-17T20:00,1,186.9,186.9,186.9,186.9,180.9,180.9,180.9,180.9
2018-04-26T09:45,1,187.9,187.9,187.9,187.9,180.9,180.9,180.9,180.9
