timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,97,201.7,201.7,201.7,201.7,187.3,187.3,187.3,187.3
2016-04-25T12:45,97,204.7,204.7,204.7,204.7,190.3,190.3,190.3,190.3
2016-05-17T16:30,97,207.7,207.7,207.7,207.7,192.3,192.3,192.3,192.3
2016-05-26T20:00,98,207.7,207.7,207.7,207.7,192.3,192.3,192.3,192.3
2016-05-28T13:45,98,210.8,210.8,210.8,210.8,195.4,195.4,195.4,195.4
2016-05-31T10:15,98,210.5,210.5,210.5,210.5,193.4,193.4,193.4,193.4
2016-06-05T14:00,98,211.5,211.5,211.5,211.5,196.4,196.4,196.4,196.4
2016-06-05T16:00,95,211.5,211.5,211.5,211.5,196.4,196.4,196.4,196.4
2016-06-20T16:15,95,210.8,210.8,210.8,210.8,193.4,193.4,193.4,193.4
2016-07-06T18:15,95,208.6,208.6,208.6,208.6,192.9,192.9,192.9,192.9
2016-07-13T11:15,95,205.8,205.8,205.8,205.8,191.9,191.9,191.9,191.9
2016-07-21T16:15,95,204.8,204.8,204.8,204.8,191.9,191.9,191.9,191.9
2016-07-26T15:15,95,200.8,200.8,200.8,200.8,189.9,189.9,189.9,189.9
2016-07-26T18:30,95,200.8,200.8,200.8,200.8,189.8,189.8,189.8,189.8
2016-08-02T16:00,95,198.8,198.8,198.8,198.8,187.8,187.8,187.8,187.8
2016-08-19T16:30,95,200.8,200.8,200.8,200.8,191.8,191.8,191.8,191.8
2016-09-07T18:30,95,198.8,198.8,198.8,198.8,189.8,189.8,189.8,189.8
2016-09-24T12:00,94,198.8,198.8,198.8,198.8,189.8,189.8,189.8,189.8
2016-09-27T23:45,94,192.8,192.8,192.8,192.8,183.8,183.8,183.8,183.8
2016-10-04T13:15,94,193.8,193.8,193.8,193.8,185.8,185.8,185.8,185.8
2016-10-14T10:45,94,194.8,194.8,194.8,194.8,187.8,187.8,187.8,187.8
2016-10-31T08:45,94,196.8,196.8,196.8,196.8,189.8,189.8,189.8,189.8
2016-11-03T10:00,94,194.8,194.8,194.8,194.8,186.8,186.8,186.8,186.8
2016-11-14T12:15,94,192.8,192.8,192.8,192.8,185.8,185.8,185.8,185.8
2016-11-16T20:15,94,191.8,191.8,191.8,191.8,184.8,184.8,184.8,184.8
2016-12-05T10:30,94,194.5,194.5,194.5,194.5,187.7,187.7,187.7,187.7
2016-12-14T11:00,94,195.5,195.5,195.5,195.5,190.7,190.7,190.7,190.7
2016-12-23T13:15,94,197.5,197.5,197.5,197.5,191.7,191.7,191.7,191.7
2017-01-01T20:30,94,202.5,202.5,202.5,202.5,196.7,196.7,196.7,196.7
2017-01-03T11:15,94,201.9,201.9,201.9,201.9,194.7,194.7,194.7,194.7
2017-01-24T09:45,94,203.9,203.9,203.9,203.9,195.8,195.8,195.8,195.8
2017-02-09T10:15,94,204.9,204.9,204.9,204.9,196.8,196.8,196.8,196.8
2017-02-27T20:00,94,201.9,201.9,201.9,201.9,193.8,193.8,193.8,193.8
2017-03-08T12:45,94,199.9,199.9,199.9,199.9,191.8,191.8,191.8,191.8
2017-03-21T19:15,94,197.9,197.9,197.9,197.9,189.8,189.8,189.8,189.8
2017-03-24T21:45,94,199.9,199.9,199.9,199.9,191.8,191.8,191.8,191.8
2017-04-05T10:45,94,202.4,202.4,202.4,202.4,193.8,193.8,193.8,193.8
2017-04-27T18:00,94,202.4,202.4,202.4,202.4,189.8,189.8,189.8,189.8
2017-05-03T19:15,94,199.9,199.9,199.9,199.9,187.3,187.3,187.3,187.3
2017-05-22T09:45,94,197.9,197.9,197.9,197.9,185.3,185.3,185.3,185.3
2017-05-28T13:15,94,195.9,195.9,195.9,195.9,183.3,183.3,183.3,183.3
2017-06-10T00:00,94,193.9,193.9,193.9,193.9,181.3,181.3,181.3,181.3
2017-06-15T12:00,94,190.7,190.7,190.7,190.7,177.2,177.2,177.2,177.2
2017-06-24T00:15,94,193.7,193.7,193.7,193.7,180.2,180.2,180.2,180.2
2017-07-11T15:45,94,195.7,195.7,195.7,195.7,184.2,184.2,184.2,184.2
2017-07-26T10:45,94,197.7,197.7,197.7,197.7,187.7,187.7,187.7,187.7
2017-08-08T11:15,94,199.9,199.9,199.9,199.9,189.9,189.9,189.9,189.9
2017-09-05T12:45,94,201.8,201.8,201.8,201.8,190.9,190.9,190.9,190.9
2017-09-11T14:45,94,204.8,204.8,204.8,204.8,194.9,194.9,194.9,194.9
2017-10-20T09:00,94,202.8,202.8,202.8,202.8,193.9,193.9,193.9,193.9
2017-11-08T22:00,94,206.8,206.8,206.8,206.8,198.9,198.9,198.9,198.9
2018-01-01T10:15,94,211.8,211.8,211.8,211.8,206.9,206.9,206.9,206.9
2018-01-18T12:00,94,209.8,209.8,209.8,209.8,203.4,203.4,203.4,203.4
2018-01-29T13:45,94,212.8,212.8,212.8,212.8,206.9,206.9,206.9,206.9
2018-04-10T11:15,94,214.8,214.8,214.8,214.8,207.9,207.9,207.9,207.9
2018-04-18T16:00,94,216.8,216.8,216.8,216.8,209.9,209.9,209.9,209.9
2018-04-24T13:30,94,218.8,218.8,218.8,218.8,211.9,211.9,211.9,211.9
2018-05-07T16:45,94,221.8,221.8,221.8,221.8,213.9,213.9,213.9,213.9
2018-05-16T22:30,94,224.8,224.8,224.8,224.8,216.9,216.9,216.9,216.9
2018-05-17T13:30,94,216.8,224.8,224.7,224.8,208.9,216.9,216.8,216.9
2018-05-18T23:00,94,218.8,226.8,226.7,226.8,210.9,218.9,218.8,218.9
2018-05-23T16:30,94,221.7,229.7,229.6,229.7,213.8,221.8,221.7,221.8
2018-06-05T10:00,94,220.2,228.2,228.1,228.2,212.3,220.3,220.2,220.3
2018-07-14T15:30,93,220.2,228.2,228.1,228.2,212.3,220.3,220.2,220.3
2018-08-21T11:00,93,221.2,229.2,229.1,229.2,212.3,220.3,220.2,220.3
2018-08-27T11:15,93,223.3,231.3,231.2,231.3,213.3,221.3,221.2,221.3
2018-09-06T08:00,93,224.3,232.3,232.2,232.3,216.3,224.3,224.2,224.3
2018-09-14T07:15,93,225.3,233.3,233.2,233.3,218.3,226.3,226.2,226.3
2018-10-02T14:15,93,226.3,234.3,234.2,234.3,221.3,229.3,229.2,229.3
2018-10-10T10:45,93,227.3,235.3,235.2,235.3,225.3,233.3,233.2,233.3
2018-11-09T18:45,93,224.3,232.3,232.2,232.3,225.3,233.3,233.2,233.3
2018-11-09T19:00,93,224.3,232.3,232.2,232.3,223.3,231.3,231.2,231.3
2018-11-21T18:30,93,219.3,227.3,227.2,227.3,219.3,227.3,227.2,227.3
2018-11-25T14:45,93,217.3,225.3,225.2,225.3,219.3,227.3,227.2,227.3
