timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,34,195.4,195.4,195.4,195.4,177.9,177.9,177.9,177.9
2016-04-25T14:00,34,198.4,198.4,198.4,198.4,180.9,180.9,180.9,180.9
2016-05-17T09:00,34,201.4,201.4,201.4,201.4,183.9,183.9,183.9,183.9
2016-05-18T09:30,34,198.4,198.4,198.4,198.4,183.9,183.9,183.9,183.9
2016-05-18T11:15,34,201.4,201.4,201.4,201.4,183.9,183.9,183.9,183.9
2016-05-27T09:45,34,204.4,204.4,204.4,204.4,186.9,186.9,186.9,186.9
2016-07-01T09:15,34,202.4,202.4,202.4,202.4,186.9,186.9,186.9,186.9
2016-07-12T09:15,34,199.4,199.4,199.4,199.4,185.9,185.9,185.9,185.9
2016-07-14T11:00,34,197.4,197.4,197.4,197.4,184.9,184.9,184.9,184.9
2016-07-26T14:15,34,194.4,194.4,194.4,194.4,182.8,182.8,182.8,182.8
2016-08-02T09:45,34,191.4,191.4,191.4,191.4,180.8,180.8,180.8,180.8
2016-08-02T13:30,34,191.4,191.4,191.4,191.4,179.8,179.8,179.8,179.8
2016-10-04T14:45,34,192.9,192.9,192.9,192.9,181.8,181.8,181.8,181.8
2016-10-12T16:30,34,192.9,192.9,192.9,192.9,183.8,183.8,183.8,183.8
2016-10-14T10:45,34,193.9,193.9,193.9,193.9,183.8,183.8,183.8,183.8
2016-10-17T09:15,34,193.9,193.9,193.9,193.9,185.8,185.8,185.8,185.8
2016-10-20T10:00,34,194.9,194.9,194.9,194.9,187.8,187.8,187.8,187.8
2016-10-21T14:30,34,193.9,193.9,193.9,193.9,185.8,185.8,185.8,185.8
2016-10-31T11:45,34,195.9,195.9,195.9,195.9,187.8,187.8,187.8,187.8
2016-11-02T09:30,34,194.9,194.9,194.9,194.9,186.8,186.8,186.8,186.8
2016-11-03T13:30,34,193.9,193.9,193.9,193.9,186.4,186.4,186.4,186.4
2016-11-14T10:15,34,192.9,192.9,192.9,192.9,185.4,185.4,185.4,185.4
2016-11-14T16:30,34,192.7,192.7,192.7,192.7,185.4,185.4,185.4,185.4
2016-11-17T09:45,34,191.6,191.6,191.6,191.6,184.6,184.6,184.6,184.6
2016-11-22T09:15,34,191.3,191.3,191.3,191.3,184.3,184.3,184.3,184.3
2016-12-03T00:30,34,194.3,194.3,194.3,194.3,187.3,187.3,187.3,187.3
2016-12-16T16:15,34,195.3,195.3,195.3,195.3,190.3,190.3,190.3,190.3
2016-12-19T14:15,34,195.3,195.3,195.3,195.3,189.2,189.2,189.2,189.2
2016-12-21T11:15,34,197.3,197.3,197.3,197.3,191.2,191.2,191.2,191.2
2016-12-31T00:45,34,200.3,200.3,200.3,200.3,193.2,193.2,193.2,193.2
2017-01-02T12:00,34,202.3,202.3,202.3,202.3,196.2,196.2,196.2,196.2
2017-01-03T16:15,34,201.9,201.9,201.9,201.9,194.2,194.2,194.2,194.2
2017-01-04T15:45,34,201.4,201.4,201.4,201.4,194.2,194.2,194.2,194.2
2017-01-24T10:45,34,202.9,202.9,202.9,202.9,195.3,195.3,195.3,195.3
2017-01-30T11:45,34,202.9,202.9,202.9,202.9,194.2,194.2,194.2,194.2
2017-02-13T11:00,34,203.9,203.9,203.9,203.9,194.2,194.2,194.2,194.2
2017-02-14T09:15,34,203.9,203.9,203.9,203.9,195.2,195.2,195.2,195.2
2017-02-28T09:45,34,201.8,201.8,201.8,201.8,193.1,193.1,193.1,193.1
2017-02-28T12:45,34,201.4,201.4,201.4,201.4,193.1,193.1,193.1,193.1
2017-03-08T09:45,34,199.4,199.4,199.4,199.4,191.2,191.2,191.2,191.2
2017-03-21T16:45,34,197.4,197.4,197.4,197.4,189.2,189.2,189.2,189.2
2017-03-28T14:00,34,199.4,199.4,199.4,199.4,191.2,191.2,191.2,191.2
2017-04-03T13:30,34,201.4,201.4,201.4,201.4,191.2,191.2,191.2,191.2
2017-04-03T13:45,34,203.9,203.9,203.9,203.9,195.2,195.2,195.2,195.2
2017-04-03T14:00,34,201.4,201.4,201.4,201.4,191.2,191.2,191.2,191.2
2017-04-07T10:45,34,203.4,203.4,203.4,203.4,192.7,192.7,192.7,192.7
2017-04-07T16:15,34,201.9,201.9,201.9,201.9,192.2,192.2,192.2,192.2
2017-04-27T12:30,34,201.9,201.9,201.9,201.9,189.2,189.2,189.2,189.2
2017-05-02T16:00,34,199.9,199.9,199.9,199.9,187.2,187.2,187.2,187.2
2017-05-05T14:00,34,197.9,197.9,197.9,197.9,185.2,185.2,185.2,185.2
2017-05-22T16:30,34,195.9,195.9,195.9,195.9,183.2,183.2,183.2,183.2
