timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,37,195.7,195.7,195.7,195.7,181.3,181.3,181.3,181.3
2016-04-25T13:45,37,198.7,198.7,198.7,198.7,184.3,184.3,184.3,184.3
2016-05-17T09:00,37,201.7,201.7,201.7,201.7,187.3,187.3,187.3,187.3
2016-05-18T09:15,37,201.7,201.7,201.7,201.7,186.3,186.3,186.3,186.3
2016-05-27T09:30,37,204.7,204.7,204.7,204.7,189.3,189.3,189.3,189.3
2016-06-02T13:00,37,205.7,205.7,205.7,205.7,189.3,189.3,189.3,189.3
2016-06-03T15:30,37,204.7,204.7,204.7,204.7,189.3,189.3,189.3,189.3
2016-06-06T18:15,37,205.5,205.5,205.5,205.5,190.4,190.4,190.4,190.4
2016-06-28T16:30,37,205.5,205.5,205.5,205.5,187.4,187.4,187.4,187.4
2016-07-01T09:15,37,203.5,203.5,203.5,203.5,187.4,187.4,187.4,187.4
2016-07-06T18:15,37,202.6,202.6,202.6,202.6,186.9,186.9,186.9,186.9
2016-07-12T09:15,37,201.6,201.6,201.6,201.6,186.9,186.9,186.9,186.9
2016-07-14T10:45,37,199.6,199.6,199.6,199.6,185.9,185.9,185.9,185.9
2016-07-21T16:30,37,198.8,198.8,198.8,198.8,185.9,185.9,185.9,185.9
2016-07-26T14:30,37,196.7,196.7,196.7,196.7,183.9,183.9,183.9,183.9
2016-08-02T09:30,37,193.7,193.7,193.7,193.7,181.9,181.9,181.9,181.9
2016-08-05T00:30,37,192.8,192.8,192.8,192.8,181.8,181.8,181.8,181.8
2016-08-18T11:30,37,194.8,194.8,194.8,194.8,183.8,183.8,183.8,183.8
2016-09-29T13:15,37,192.8,192.8,192.8,192.8,183.8,183.8,183.8,183.8
2016-10-04T14:45,37,194.3,194.3,194.3,194.3,185.8,185.8,185.8,185.8
2016-10-12T16:15,37,193.8,193.8,193.8,193.8,185.8,185.8,185.8,185.8
2016-10-14T10:45,37,194.8,194.8,194.8,194.8,187.8,187.8,187.8,187.8
2016-10-20T10:00,37,195.8,195.8,195.8,195.8,189.8,189.8,189.8,189.8
2016-10-21T14:45,37,194.8,194.8,194.8,194.8,187.8,187.8,187.8,187.8
2016-10-31T11:30,37,196.8,196.8,196.8,196.8,189.8,189.8,189.8,189.8
2016-11-02T09:15,37,195.8,195.8,195.8,195.8,188.8,188.8,188.8,188.8
2016-11-03T13:30,37,194.8,194.8,194.8,194.8,186.8,186.8,186.8,186.8
2016-11-14T10:15,37,193.8,193.8,193.8,193.8,185.8,185.8,185.8,185.8
2016-11-17T09:30,37,191.8,191.8,191.8,191.8,184.8,184.8,184.8,184.8
2016-12-03T00:30,37,194.8,194.8,194.8,194.8,187.8,187.8,187.8,187.8
2016-12-05T14:30,37,194.5,194.5,194.5,194.5,187.7,187.7,187.7,187.7
2016-12-14T15:00,37,195.5,195.5,195.5,195.5,190.7,190.7,190.7,190.7
2016-12-19T14:30,37,195.5,195.5,195.5,195.5,189.3,189.3,189.3,189.3
2016-12-21T11:15,37,197.5,197.5,197.5,197.5,191.3,191.3,191.3,191.3
2016-12-31T00:45,37,200.5,200.5,200.5,200.5,193.3,193.3,193.3,193.3
2017-01-02T12:00,37,202.5,202.5,202.5,202.5,196.3,196.3,196.3,196.3
2017-01-03T16:15,37,202.3,202.3,202.3,202.3,194.7,194.7,194.7,194.7
2017-01-24T10:45,37,203.9,203.9,203.9,203.9,195.8,195.8,195.8,195.8
2017-02-10T10:45,37,204.9,204.9,204.9,204.9,196.8,196.8,196.8,196.8
2017-02-13T10:45,37,205.9,205.9,205.9,205.9,196.8,196.8,196.8,196.8
2017-02-28T09:30,37,202.9,202.9,202.9,202.9,193.8,193.8,193.8,193.8
2017-03-08T09:45,37,201.9,201.9,201.9,201.9,191.8,191.8,191.8,191.8
2017-03-08T14:30,37,199.9,199.9,199.9,199.9,191.8,191.8,191.8,191.8
2017-03-22T09:45,37,197.9,197.9,197.9,197.9,189.8,189.8,189.8,189.8
2017-03-28T14:15,37,199.9,199.9,199.9,199.9,191.8,191.8,191.8,191.8
2017-04-03T13:45,37,205.9,205.9,205.9,205.9,196.8,196.8,196.8,196.8
2017-04-03T14:15,37,201.9,201.9,201.9,201.9,191.8,191.8,191.8,191.8
2017-04-06T09:00,37,202.4,202.4,202.4,202.4,192.3,192.3,192.3,192.3
2017-04-07T10:30,37,204.4,204.4,204.4,204.4,193.8,193.8,193.8,193.8
2017-04-07T16:15,37,203.4,203.4,203.4,203.4,193.8,193.8,193.8,193.8
2017-04-27T12:30,37,202.4,202.4,202.4,202.4,189.3,189.3,189.3,189.3
2017-05-04T14:00,37,200.4,200.4,200.4,200.4,187.3,187.3,187.3,187.3
2017-05-10T16:00,37,199.9,199.9,199.9,199.9,187.3,187.3,187.3,187.3
2017-05-22T16:45,37,197.9,197.9,197.9,197.9,185.3,185.3,185.3,185.3
2017-05-29T15:45,37,197.9,197.9,197.9,197.9,184.3,184.3,184.3,184.3
2017-06-07T10:00,37,195.9,195.9,195.9,195.9,183.3,183.3,183.3,183.3
2017-06-12T13:45,37,193.9,193.9,193.9,193.9,181.3,181.3,181.3,181.3
2017-06-16T14:45,37,192.4,192.4,192.4,192.4,177.2,177.2,177.2,177.2
2017-06-26T09:45,37,193.7,193.7,193.7,193.7,180.2,180.2,180.2,180.2
2017-07-11T09:30,37,194.4,194.4,194.4,194.4,182.2,182.2,182.2,182.2
2017-07-12T09:30,37,195.7,195.7,195.7,195.7,184.2,184.2,184.2,184.2
2017-07-26T11:45,37,197.7,197.7,197.7,197.7,187.7,187.7,187.7,187.7
2017-07-28T13:15,37,198.4,198.4,198.4,198.4,186.2,186.2,186.2,186.2
2017-08-08T13:00,37,199.9,199.9,199.9,199.9,189.9,189.9,189.9,189.9
2017-09-01T12:00,37,202.9,202.9,202.9,202.9,190.2,190.2,190.2,190.2
2017-09-05T15:00,37,202.9,202.9,202.9,202.9,190.9,190.9,190.9,190.9
2017-09-11T16:15,37,204.8,204.8,204.8,204.8,194.9,194.9,194.9,194.9
2017-10-20T10:45,37,202.8,202.8,202.8,202.8,193.9,193.9,193.9,193.9
2017-11-08T22:00,37,206.8,206.8,206.8,206.8,198.9,198.9,198.9,198.9
2018-01-01T00:15,37,213.0,213.0,213.0,213.0,206.3,206.3,206.3,206.3
2018-01-02T12:15,37,211.8,211.8,211.8,211.8,206.3,206.3,206.3,206.3
