timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,48,195.3,195.3,195.3,195.3,177.8,177.8,177.8,177.8
2016-05-12T12:30,48,198.3,198.3,198.3,198.3,180.8,180.8,180.8,180.8
2016-05-17T16:15,48,198.3,198.3,198.3,198.3,183.8,183.8,183.8,183.8
2016-05-27T13:30,48,201.3,201.3,201.3,201.3,183.3,183.3,183.3,183.3
2016-06-06T10:00,48,204.3,204.3,204.3,204.3,186.8,186.8,186.8,186.8
2016-07-01T11:30,48,202.3,202.3,202.3,202.3,186.8,186.8,186.8,186.8
2016-07-11T17:15,48,199.3,199.3,199.3,199.3,185.9,185.9,185.9,185.9
2016-07-12T09:15,48,199.3,199.3,199.3,199.3,185.8,185.8,185.8,185.8
2016-07-14T11:30,48,197.3,197.3,197.3,197.3,184.8,184.8,184.8,184.8
2016-07-26T11:30,48,194.3,194.3,194.3,194.3,182.7,182.7,182.7,182.7
2016-08-02T10:45,48,191.3,191.3,191.3,191.3,179.7,179.7,179.7,179.7
2016-10-06T08:30,48,192.8,192.8,192.8,192.8,181.7,181.7,181.7,181.7
2016-10-14T14:30,48,192.8,192.8,192.8,192.8,183.7,183.7,183.7,183.7
2016-10-24T10:00,48,192.8,192.8,192.8,192.8,185.7,185.7,185.7,185.7
2016-10-24T10:30,48,193.8,193.8,193.8,193.8,185.7,185.7,185.7,185.7
2016-11-01T09:30,48,195.8,195.8,195.8,195.8,187.7,187.7,187.7,187.7
2016-11-02T11:00,48,194.8,194.8,194.8,194.8,186.7,186.7,186.7,186.7
2016-11-03T12:00,48,194.5,194.5,194.5,194.5,186.5,186.5,186.5,186.5
2016-11-03T13:00,48,193.8,193.8,193.8,193.8,186.3,186.3,186.3,186.3
2016-11-14T12:30,48,192.7,192.7,192.7,192.7,185.3,185.3,185.3,185.3
2016-11-14T16:45,48,192.6,192.6,192.6,192.6,185.3,185.3,185.3,185.3
2016-11-16T12:45,48,191.7,191.7,191.7,191.7,184.7,184.7,184.7,184.7
2016-11-17T10:00,48,191.5,191.5,191.5,191.5,184.5,184.5,184.5,184.5
2016-11-18T11:00,48,191.2,191.2,191.2,191.2,184.2,184.2,184.2,184.2
2016-12-05T12:00,48,194.2,194.2,194.2,194.2,187.2,187.2,187.2,187.2
2016-12-27T10:15,48,195.2,195.2,195.2,195.2,189.1,189.1,189.1,189.1
2017-01-04T10:00,48,201.3,201.3,201.3,201.3,194.1,194.1,194.1,194.1
2017-01-25T09:00,48,202.8,202.8,202.8,202.8,194.1,194.1,194.1,194.1
2017-02-14T09:30,48,203.8,203.8,203.8,203.8,194.1,194.1,194.1,194.1
2017-02-14T10:15,48,203.8,203.8,203.8,203.8,195.1,195.1,195.1,195.1
2017-02-27T13:30,48,201.8,201.8,201.8,201.8,193.1,193.1,193.1,193.1
2017-02-28T10:30,48,201.7,201.7,201.7,201.7,193.0,193.0,193.0,193.0
2017-02-28T11:00,48,201.3,201.3,201.3,201.3,193.0,193.0,193.0,193.0
2017-03-07T10:30,48,199.3,199.3,199.3,199.3,191.1,191.1,191.1,191.1
2017-03-20T11:45,48,197.3,197.3,197.3,197.3,189.1,189.1,189.1,189.1
2017-04-03T10:00,48,199.3,199.3,199.3,199.3,191.1,191.1,191.1,191.1
2017-04-06T09:45,48,201.3,201.3,201.3,201.3,191.1,191.1,191.1,191.1
2017-04-07T15:15,48,199.8,199.8,199.8,199.8,192.1,192.1,192.1,192.1
2017-04-07T16:30,48,201.8,201.8,201.8,201.8,192.1,192.1,192.1,192.1
2017-04-26T13:00,48,201.8,201.8,201.8,201.8,189.1,189.1,189.1,189.1
2017-05-02T12:00,48,199.8,199.8,199.8,199.8,187.1,187.1,187.1,187.1
2017-05-05T12:00,48,197.8,197.8,197.8,197.8,185.1,185.1,185.1,185.1
2017-05-23T09:00,48,197.4,197.4,197.4,197.4,184.8,184.8,184.8,184.8
2017-05-23T14:30,48,195.8,195.8,195.8,195.8,183.1,183.1,183.1,183.1
2017-06-06T11:45,48,193.3,193.3,193.3,193.3,179.8,179.8,179.8,179.8
2017-06-13T10:30,48,190.3,190.3,190.3,190.3,176.8,176.8,176.8,176.8
2017-07-06T09:30,48,192.3,192.3,192.3,192.3,178.8,178.8,178.8,178.8
2017-07-13T08:45,48,194.3,194.3,194.3,194.3,180.8,180.8,180.8,180.8
2017-07-17T10:45,48,194.3,194.3,194.3,194.3,182.8,182.8,182.8,182.8
2017-07-28T12:00,48,196.3,196.3,196.3,196.3,185.8,185.8,185.8,185.8
2017-08-15T15:15,48,198.3,198.3,198.3,198.3,187.8,187.8,187.8,187.8
2017-09-15T01:15,48,177.6,199.8,196.1,199.8,167.8,189.8,186.1,189.8
2017-09-15T01:45,48,199.8,199.8,199.8,199.8,189.8,189.8,189.8,189.8
2017-10-25T10:15,48,199.8,199.8,199.8,199.8,191.8,191.8,191.8,191.8
2017-11-08T22:00,48,203.8,203.8,203.8,203.8,195.8,195.8,195.8,195.8
2018-01-01T16:15,48,208.8,208.8,208.8,208.8,200.8,200.8,200.8,200.8
2018-01-11T12:15,48,209.2,209.2,209.2,209.2,201.2,201.2,201.2,201.2
2018-01-15T11:15,48,209.8,209.8,209.8,209.8,202.2,202.2,202.2,202.2
2018-01-18T14:45,48,208.5,208.5,208.5,208.5,202.2,202.2,202.2,202.2
2018-01-18T18:45,48,207.8,207.8,207.8,207.8,199.2,199.2,199.2,199.2
2018-01-25T16:00,48,209.7,209.7,209.7,209.7,202.2,202.2,202.2,202.2
2018-01-29T13:45,48,209.7,209.7,209.7,209.7,203.2,203.2,203.2,203.2
2018-01-30T16:15,48,210.8,210.8,210.8,210.8,203.2,203.2,203.2,203.2
2018-02-21T15:30,56,210.8,210.8,210.8,210.8,203.2,203.2,203.2,203.2
2018-02-28T00:30,56,210.8,210.8,210.8,210.8,203.2,204.2,203.2,203.2
2018-03-29T22:45,55,210.8,210.8,210.8,210.8,203.2,204.2,203.2,203.2
2018-04-11T14:45,55,212.8,212.8,212.8,212.8,205.2,206.2,205.2,205.2
2018-04-19T10:45,55,214.8,214.8,214.8,214.8,207.2,208.2,207.2,207.2
2018-04-30T14:45,55,216.8,216.8,216.8,216.8,209.2,210.2,209.2,209.2
2018-05-08T15:15,55,219.8,219.8,219.8,219.8,211.2,212.2,211.2,211.2
2018-05-09T15:45,55,219.8,220.8,219.8,219.8,211.2,212.2,211.2,211.2
2018-05-17T11:30,55,222.8,223.8,222.8,222.8,214.2,215.2,214.2,214.2
2018-05-22T14:30,55,224.8,225.8,224.8,224.8,216.2,217.2,216.2,216.2
2018-05-24T16:00,55,224.8,227.8,224.9,224.8,216.2,219.2,216.3,216.2
2018-05-24T16:30,55,226.8,227.8,226.8,226.8,218.2,219.2,218.2,218.2
2018-08-23T16:15,55,227.8,228.8,228.8,228.8,219.2,219.2,219.2,219.2
2018-08-28T22:00,55,227.8,227.9,227.9,227.9,218.3,219.2,218.3,218.3
2018-08-29T13:00,55,227.7,227.8,227.7,227.7,218.1,219.2,218.1,218.1
2018-09-06T13:15,55,227.8,228.7,228.7,228.7,219.2,221.1,221.0,221.1
2018-09-13T17:00,55,227.8,229.7,229.6,229.7,219.2,224.1,223.9,224.1
2018-09-14T10:00,55,229.7,230.7,229.7,229.7,224.1,225.1,224.1,224.1
2018-10-02T16:45,55,229.7,230.7,229.7,229.7,224.1,227.1,226.9,227.1
2018-10-02T17:00,55,229.7,230.7,229.7,229.7,225.1,227.1,227.0,227.1
2018-10-05T10:15,55,224.7,230.7,229.6,229.7,222.1,227.1,226.9,227.1
2018-10-08T11:00,55,223.7,230.7,229.5,229.7,221.1,227.1,226.8,227.1
2018-10-10T17:15,55,225.7,232.7,231.5,231.7,225.1,232.1,230.9,231.1
2018-11-10T13:45,55,222.7,229.7,228.5,228.7,225.1,232.1,230.9,231.1
2018-11-12T09:15,55,222.7,229.7,228.4,228.6,225.1,232.1,229.1,229.1
