timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,8,183.3,188.3,187.7,188.3,165.8,170.8,170.2,170.8
2016-04-26T11:30,8,186.3,191.3,190.7,191.3,168.8,173.8,173.2,173.8
2016-05-17T16:15,8,186.3,191.3,190.7,191.3,171.8,176.8,176.2,176.8
2016-05-18T11:15,8,189.3,194.3,193.7,194.3,171.8,176.8,176.2,176.8
2016-05-25T13:15,8,188.3,193.3,192.7,193.3,171.8,176.8,176.2,176.8
2016-05-26T20:00,8,187.3,192.3,191.7,192.3,170.8,175.8,175.2,175.8
2016-05-27T10:30,8,187.3,191.3,190.8,191.3,170.8,174.8,174.3,174.8
2016-05-27T15:15,8,187.3,190.3,189.9,190.3,170.8,173.8,173.4,173.8
2016-05-28T10:15,8,187.3,189.3,189.0,189.3,170.8,172.8,172.5,172.8
2016-05-29T17:30,8,187.3,188.9,188.7,188.9,170.8,172.7,172.5,172.7
2016-05-31T11:15,8,187.3,191.7,191.2,191.7,170.8,172.7,172.5,172.7
2016-06-02T09:00,8,187.3,190.9,190.5,190.9,170.8,171.9,171.8,171.9
2016-06-03T15:45,8,190.7,190.9,190.9,190.9,171.7,171.9,171.9,171.9
2016-06-03T16:15,8,190.7,204.3,192.6,190.9,171.7,186.8,173.7,171.9
2016-06-05T14:00,8,174.7,191.7,189.5,191.7,173.7,174.7,174.6,174.7
2016-06-06T17:00,8,190.7,191.7,191.6,191.7,173.7,174.7,174.6,174.7
2016-06-21T09:15,8,190.7,191.6,191.5,191.6,173.7,174.6,174.5,174.6
2016-07-14T11:30,8,190.3,190.3,190.3,190.3,177.8,177.8,177.8,177.8
2016-07-14T11:45,8,190.3,190.3,190.3,190.3,173.7,174.7,174.6,174.7
2016-07-26T11:15,8,187.3,187.3,187.3,187.3,173.7,174.7,174.6,174.7
2016-07-28T12:30,8,186.1,186.1,186.1,186.1,173.6,173.6,173.6,173.6
2016-07-28T12:45,8,186.9,186.9,186.9,186.9,174.4,174.4,174.4,174.4
2016-08-02T10:15,8,184.3,184.3,184.3,184.3,172.4,172.4,172.4,172.4
2016-09-14T10:00,8,183.8,183.8,183.8,183.8,171.9,171.9,171.9,171.9
2016-10-05T16:15,8,184.3,184.3,184.3,184.3,172.4,172.8,172.7,172.8
2016-10-06T09:30,8,184.8,184.8,184.8,184.8,173.9,173.9,173.9,173.9
2016-10-14T15:00,8,184.8,184.8,184.8,184.8,173.9,175.9,175.7,175.9
2016-10-28T09:00,8,177.7,177.7,177.7,177.7,167.8,167.8,167.8,167.8
2016-10-28T13:00,8,185.7,185.7,185.7,185.7,178.7,178.7,178.7,178.7
2016-10-31T09:00,8,187.6,187.6,187.6,187.6,180.6,180.6,180.6,180.6
2016-10-31T15:45,8,187.5,187.5,187.5,187.5,180.6,180.6,180.6,180.6
2016-11-03T12:45,8,185.5,185.5,185.5,185.5,177.6,177.6,177.6,177.6
2016-11-04T09:15,8,185.4,185.4,185.4,185.4,177.6,177.6,177.6,177.6
2016-11-14T12:30,8,183.4,183.4,183.4,183.4,176.6,176.6,176.6,176.6
2016-11-16T15:30,8,183.3,183.3,183.3,183.3,176.6,176.6,176.6,176.6
2016-11-17T09:15,8,182.3,182.3,182.3,182.3,175.6,175.6,175.6,175.6
2016-11-18T09:00,8,182.1,182.1,182.1,182.1,175.6,175.6,175.6,175.6
2016-12-05T11:30,8,184.8,184.8,184.8,184.8,178.5,178.5,178.5,178.5
2016-12-15T08:30,8,185.8,185.8,185.8,185.8,181.5,181.5,181.5,181.5
2016-12-22T09:30,8,186.8,186.8,186.8,186.8,182.1,182.1,182.1,182.1
2016-12-27T10:15,8,188.8,188.8,188.8,188.8,183.5,183.5,183.5,183.5
2016-12-30T13:15,8,184.5,184.5,184.5,184.5,179.0,179.0,179.0,179.0
2016-12-30T13:30,8,184.8,184.8,184.8,184.8,179.0,179.0,179.0,179.0
2016-12-31T10:45,8,189.0,189.0,189.0,189.0,183.2,183.2,183.2,183.2
2017-01-02T11:45,8,194.0,194.0,194.0,194.0,188.2,188.2,188.2,188.2
2017-01-03T18:45,8,193.4,193.4,193.4,193.4,186.2,186.2,186.2,186.2
2017-01-24T10:30,8,194.3,194.3,194.3,194.3,187.1,187.1,187.1,187.1
2017-01-25T09:00,8,195.4,195.4,195.4,195.4,187.1,187.1,187.1,187.1
2017-02-14T09:30,8,196.4,196.4,196.4,196.4,187.1,187.1,187.1,187.1
2017-02-14T10:15,8,196.4,196.4,196.4,196.4,188.1,188.1,188.1,188.1
2017-02-27T13:15,8,194.4,194.4,194.4,194.4,186.1,186.1,186.1,186.1
