timestamp,stations_count,lowest_bensin,highest_bensin,average_bensin,common_bensin,lowest_diesel,highest_diesel,average_diesel,common_diesel
2016-04-19T00:27,9,197.4,197.4,197.4,197.4,181.3,181.3,181.3,181.3
2016-04-25T14:15,9,199.7,199.7,199.7,199.7,183.3,183.3,183.3,183.3
2016-05-17T10:00,9,202.7,202.7,202.7,202.7,186.3,186.3,186.3,186.3
2016-05-27T13:30,9,205.7,205.7,205.7,205.7,189.3,189.3,189.3,189.3
2016-06-29T15:30,9,205.7,205.7,205.7,205.7,187.3,187.3,187.3,187.3
2016-07-11T17:00,9,201.7,201.7,201.7,201.7,185.9,185.9,185.9,185.9
2016-07-14T12:00,9,199.7,199.7,199.7,199.7,185.9,185.9,185.9,185.9
2016-07-26T11:30,9,196.7,196.7,196.7,196.7,183.9,183.9,183.9,183.9
2016-08-02T10:45,9,194.7,194.7,194.7,194.7,181.9,181.9,181.9,181.9
2016-08-19T14:30,9,196.7,196.7,196.7,196.7,183.9,183.9,183.9,183.9
2016-09-23T13:00,9,194.7,194.7,194.7,194.7,183.9,183.9,183.9,183.9
2016-10-05T10:15,9,195.7,195.7,195.7,195.7,185.9,185.9,185.9,185.9
2016-10-14T13:30,9,195.7,195.7,195.7,195.7,187.8,187.8,187.8,187.8
2016-10-31T09:30,9,197.7,197.7,197.7,197.7,189.8,189.8,189.8,189.8
2016-11-03T12:00,9,197.7,197.7,197.7,197.7,186.8,186.8,186.8,186.8
2016-11-04T15:00,9,196.3,196.3,196.3,196.3,186.8,186.8,186.8,186.8
2016-11-14T13:30,9,194.3,194.3,194.3,194.3,185.8,185.8,185.8,185.8
2016-11-17T10:30,9,193.3,193.3,193.3,193.3,184.8,184.8,184.8,184.8
2016-12-05T11:30,9,196.1,196.1,196.1,196.1,187.7,187.7,187.7,187.7
2016-12-16T14:45,9,197.1,197.1,197.1,197.1,189.3,189.3,189.3,189.3
2016-12-21T15:00,9,198.9,198.9,198.9,198.9,191.3,191.3,191.3,191.3
2017-01-02T11:00,9,202.4,202.4,202.4,202.4,194.3,194.3,194.3,194.3
2017-01-24T11:45,9,204.4,204.4,204.4,204.4,194.3,194.3,194.3,194.3
2017-02-10T15:00,9,205.9,205.9,205.9,205.9,195.8,195.8,195.8,195.8
2017-02-27T14:00,9,203.9,203.9,203.9,203.9,193.8,193.8,193.8,193.8
2017-03-07T10:45,9,201.4,201.4,201.4,201.4,191.8,191.8,191.8,191.8
2017-03-20T14:45,9,199.4,199.4,199.4,199.4,189.8,189.8,189.8,189.8
2017-03-31T11:15,9,201.4,201.4,201.4,201.4,191.3,191.3,191.3,191.3
2017-04-05T15:45,9,203.4,203.4,203.4,203.4,192.3,192.3,192.3,192.3
2017-04-26T15:30,9,203.4,203.4,203.4,203.4,189.3,189.3,189.3,189.3
2017-05-02T15:00,9,201.4,201.4,201.4,201.4,187.3,187.3,187.3,187.3
2017-05-05T14:00,9,199.4,199.4,199.4,199.4,185.4,185.4,185.4,185.4
2017-05-26T09:30,9,197.9,197.9,197.9,197.9,184.3,184.3,184.3,184.3
2017-06-06T14:30,9,195.4,195.4,195.4,195.4,181.3,181.3,181.3,181.3
2017-06-15T14:30,9,192.4,192.4,192.4,192.4,177.2,177.2,177.2,177.2
2017-07-04T11:00,9,194.4,194.4,194.4,194.4,179.2,179.2,179.2,179.2
2017-07-11T11:30,9,195.4,195.4,195.4,195.4,181.2,181.2,181.2,181.2
2017-07-12T13:00,9,196.4,196.4,196.4,196.4,183.2,183.2,183.2,183.2
2017-07-28T11:45,9,198.4,198.4,198.4,198.4,186.2,186.2,186.2,186.2
2017-08-09T10:45,9,199.9,199.9,199.9,199.9,189.2,189.2,189.2,189.2
2017-08-15T14:30,9,198.3,198.3,198.3,198.3,187.8,187.8,187.8,187.8
2017-08-15T15:15,9,199.9,199.9,199.9,199.9,189.2,189.2,189.2,189.2
2017-09-01T11:00,9,202.9,202.9,202.9,202.9,190.2,190.2,190.2,190.2
2017-09-13T11:00,9,204.8,204.8,204.8,204.8,193.9,193.9,193.9,193.9
2017-10-20T11:45,9,202.8,202.8,202.8,202.8,193.9,193.9,193.9,193.9
2017-11-08T22:00,9,205.8,205.8,205.8,205.8,197.9,197.9,197.9,197.9
2018-01-01T16:15,9,210.8,210.8,210.8,210.8,202.9,202.9,202.9,202.9
2018-01-05T13:15,9,211.7,211.7,211.7,211.7,205.4,205.4,205.4,205.4
2018-01-19T08:15,9,209.7,209.7,209.7,209.7,203.2,203.2,203.2,203.2
2018-01-25T10:45,9,211.8,211.8,211.8,211.8,206.6,206.6,206.6,206.6
2018-02-21T15:30,0,null,null,null,null,null,null,null,null
